Periodo,Total_Mensual,Total_Anual,Primarias_Mensual,Primarias_Anual,Secundarias_Mensual,Secundarias_Anual,Terciarias_Mensual,Terciarias_Anual,Mineria_Anual,Energia_agua_gas_Anual,Construccion_Anual,Manufacturas_Anual,Comercio_mayoreo_Anual,Comercio_menudeo_Anual,Transportes_Anual,Servicios_financieros_Anual,Servicios_inmobiliarios_Anual,Servicios_profesionales_Anual,Actividades_gubernamentales_Anual
dic-16,0.5,2.99,2.8,0.28,-0.28,0.48,0.87,4.73,-5.85,-1.02,1.86,1.6,7.98,5.92,4.74,21.76,1.84,1.66,-1.16
ene-17,0.31,3.06,3.61,9.35,0.69,1.25,-0.27,3.58,-6.98,6.54,0.08,3.21,4.05,0.23,4.87,17.13,3.33,0.5,0.66
feb-17,-0.49,2.09,-8.76,-2.53,-0.44,0.66,0.08,3.11,-8.81,3.8,-0.05,2.87,2.11,2.0,4.44,12.83,3.94,4.51,-0.74
mar-17,0.34,2.93,4.67,7.43,0.7,2.15,-0.08,3.27,-7.49,7.31,0.47,4.27,2.39,1.25,4.46,15.77,2.61,7.63,-0.52
abr-17,-0.03,2.82,-0.07,1.76,-1.09,1.15,0.45,3.63,-6.0,4.61,-3.91,4.23,0.94,6.24,5.13,13.65,2.46,-1.26,-1.85
may-17,-0.21,2.24,-3.55,2.01,0.04,0.9,-0.08,3.07,-5.58,5.09,-3.26,3.51,0.86,3.08,4.1,10.88,2.1,7.07,-1.91
jun-17,0.51,2.31,9.78,5.56,0.07,1.21,0.37,2.9,-5.57,5.11,0.12,2.74,1.14,4.21,4.79,11.78,0.98,1.9,-1.11
jul-17,-0.86,1.54,-4.66,4.42,-0.76,0.47,-0.73,2.0,-7.06,1.99,-0.83,2.69,1.93,2.08,4.1,10.89,-0.14,-8.59,-1.72
ago-17,1.05,2.28,0.9,-4.57,0.59,0.95,1.19,3.36,-7.92,3.39,1.33,2.66,4.59,1.83,4.46,10.41,1.19,-2.86,-1.46
sep-17,-1.18,0.41,0.73,1.49,-0.98,-0.41,-0.85,1.14,-14.08,5.12,2.86,1.21,0.48,2.5,1.02,12.08,0.84,-4.94,-0.62
