Periodo,INPC_Quincenal,INPC_Anual,Subyacente_Quincenal,Subyacente_Anual,No_subyacente_Quincenal,No_subyacente_Anual
Q11-96,0.86,,0.91,,,
Q12-96,0.69,,0.67,,,
Q13-96,0.73,,0.75,,,
Q14-96,0.67,,0.7,,,
Q15-96,0.71,,0.66,,,
Q16-96,0.56,,0.68,,,
Q17-96,1.04,,1.18,,,
Q18-96,0.55,,0.62,,,
Q19-96,0.7,,0.48,,,
Q20-96,0.53,,0.57,,,
Q21-96,0.89,,0.6,,,
Q22-96,0.71,,0.62,,,
Q23-96,2.34,,1.26,,,
Q24-96,0.97,,0.93,,,
Q01-97,1.6,,1.7,,,
Q02-97,0.94,,0.96,,,
Q03-97,0.89,,0.88,,,
Q04-97,0.62,,0.77,,,
Q05-97,0.66,,0.6,,,
Q06-97,0.54,,0.52,,,
Q07-97,0.58,,0.63,,,
Q08-97,0.45,,0.61,,,
Q09-97,0.48,,0.63,,,
Q10-97,0.4,,0.54,,,
Q11-97,0.49,,0.54,,,
Q12-97,0.39,,0.5,,,
Q13-97,0.48,,0.32,,,
Q14-97,0.38,,0.21,,,
Q15-97,0.48,,0.38,,,
Q16-97,0.43,,0.43,,,
Q17-97,0.87,,0.99,,,
Q18-97,0.32,,0.5,,,
Q19-97,0.47,,0.44,,,
Q20-97,0.33,,0.46,,,
Q21-97,0.72,,0.51,,,
Q22-97,0.46,,0.51,,,
Q23-97,0.76,,0.62,,,
Q24-97,0.82,,0.49,,,
Q01-98,1.34,,1.22,,,
Q02-98,0.82,,0.91,,,
Q03-98,1.08,,1.22,,,
Q04-98,0.5,,0.62,,,
Q05-98,0.69,,0.58,,,
Q06-98,0.45,,0.5,,,
Q07-98,0.51,,0.66,,,
Q08-98,0.4,,0.53,,,
Q09-98,0.39,,0.63,,,
Q10-98,0.41,,0.43,,,
Q11-98,0.76,,0.8,,,
Q12-98,0.42,,0.41,,,
Q13-98,0.55,,0.34,,,
Q14-98,0.41,,0.3,,,
Q15-98,0.52,,0.59,,,
Q16-98,0.47,,0.6,,,
Q17-98,0.95,,1.18,,,
Q18-98,0.86,,1.04,,,
Q19-98,0.78,,0.71,,,
Q20-98,0.44,,0.46,,,
Q21-98,0.97,,0.57,,,
Q22-98,1.14,,0.53,,,
Q23-98,1.4,,0.96,,,
Q24-98,0.91,,0.65,,,
Q01-99,1.62,,1.62,,,
Q02-99,0.87,,1.03,,,
Q03-99,0.69,,0.86,,,
Q04-99,0.42,,0.8,,,
Q05-99,0.48,,0.77,,,
Q06-99,0.48,,0.66,,,
Q07-99,0.47,,0.6,,,
Q08-99,0.42,,0.51,,,
Q09-99,0.24,,0.56,,,
Q10-99,0.29,,0.39,,,
Q11-99,0.37,,0.43,,,
Q12-99,0.27,,0.35,,,
Q13-99,0.39,,0.23,,,
Q14-99,0.27,,0.28,,,
Q15-99,0.31,,0.42,,,
Q16-99,0.24,,0.42,,,
Q17-99,0.7,,0.88,,,
Q18-99,0.3,,0.37,,,
Q19-99,0.37,,0.37,,,
Q20-99,0.22,,0.39,,,
Q21-99,0.61,,0.3,,,
Q22-99,0.34,,0.34,,,
Q23-99,0.51,,0.42,,,
Q24-99,0.64,,0.36,,,
Q01-00,0.75,,0.76,,,
Q02-00,0.54,,0.7,,,
Q03-00,0.49,,0.59,,,
Q04-00,0.25,,0.4,,,
Q05-00,0.32,,0.33,,,
Q06-00,0.22,,0.3,,,
Q07-00,0.34,,0.3,,,
Q08-00,0.23,,0.18,,,
Q09-00,0.16,,0.28,,,
Q10-00,0.2,,0.18,,,
Q11-00,0.38,,0.19,,,
Q12-00,0.23,,0.13,,,
Q13-00,0.21,,0.17,,,
Q14-00,0.13,,0.21,,,
Q15-00,0.26,,0.23,,,
Q16-00,0.45,,0.19,,,
Q17-00,0.45,,0.63,,,
Q18-00,0.11,,0.23,,,
Q19-00,0.44,,0.18,,,
Q20-00,0.38,,0.24,,,
Q21-00,0.54,,0.32,,,
Q22-00,0.24,,0.26,,,
Q23-00,0.72,,0.32,,,
Q24-00,0.48,,0.18,,,
