Periodo,INPC_Quincenal,INPC_Anual,Subyacente_Quincenal,Subyacente_Anual,No_subyacente_Quincenal,No_subyacente_Anual
Q03-19,-0.1,,0.26,,-1.15,
Q04-19,0.14,,0.19,,-0.02,
Q05-19,0.26,,0.18,,0.49,
Q06-19,0.12,,0.14,,0.04,
Q07-19,-0.03,,0.4,,-1.32,
Q08-19,0.06,,-0.02,,0.31,
Q09-19,-0.3,,0.09,,-1.49,
Q10-19,-0.03,,0.17,,-0.65,
Q11-19,0.01,,0.16,,-0.47,
Q12-19,0.14,,0.11,,0.25,
Q13-19,0.27,,0.17,,0.6,
Q14-19,0.06,,0.08,,0.03,
Q15-19,-0.08,,0.11,,-0.66,
Q16-19,0.05,,0.1,,-0.1,
Q17-19,0.17,,0.19,,0.13,
Q18-19,0.13,,0.12,,0.15,
Q19-19,0.4,,0.13,,1.24,
Q20-19,0.16,,0.12,,0.29,
Q21-19,0.68,,0.16,,2.3,
Q22-19,0.09,,0.01,,0.33,
Q23-19,0.35,,0.36,,0.31,
Q24-19,0.32,,0.08,,1.05,
Q01-20,0.27,,0.2,,0.46,
Q02-20,0.11,,0.16,,-0.05,
Q03-20,0.12,,0.22,,-0.16,
Q04-20,0.47,,0.13,,1.5,
Q05-20,0.11,,0.16,,-0.04,
Q06-20,-0.78,,0.14,,-3.51,
Q07-20,-0.72,,0.2,,-3.56,
Q08-20,0.19,,0.17,,0.24,
Q09-20,0.3,,0.24,,0.46,
Q10-20,-0.01,,-0.06,,0.16,
Q11-20,0.32,,0.29,,0.39,
Q12-20,0.47,,0.21,,1.29,
Q13-20,0.36,,0.25,,0.69,
Q14-20,0.14,,0.09,,0.28,
Q15-20,0.24,,0.18,,0.43,
Q16-20,0.17,,0.18,,0.12,
Q17-20,0.16,,0.17,,0.15,
Q18-20,-0.03,,0.12,,-0.51,
Q19-20,0.54,,0.14,,1.8,
Q20-20,0.16,,0.07,,0.45,
Q21-20,0.04,,-0.11,,0.51,
Q22-20,-0.1,,-0.02,,-0.33,
Q23-20,0.34,,0.52,,-0.23,
Q24-20,0.19,,0.08,,0.54,
Q01-21,0.51,,0.24,,1.37,
Q02-21,0.5,,0.17,,1.5,
Q03-21,0.23,,0.22,,0.26,
Q04-21,0.31,,0.18,,0.7,
Q05-21,0.53,,0.35,,1.08,
Q06-21,0.28,,0.2,,0.51,
Q07-21,0.06,,0.18,,-0.28,
Q08-21,0.25,,0.17,,0.47,
Q09-21,-0.01,,0.33,,-1.0,
Q10-21,0.17,,0.22,,0.03,
Q11-21,0.34,,0.35,,0.31,
Q12-21,0.2,,0.21,,0.18,
Q13-21,0.37,,0.31,,0.55,
Q14-21,0.24,,0.13,,0.57,
Q15-21,-0.02,,0.28,,-0.92,
Q16-21,0.18,,0.17,,0.24,
Q17-21,0.42,,0.31,,0.76,
Q18-21,0.21,,0.13,,0.44,
Q19-21,0.54,,0.33,,1.18,
Q20-21,0.38,,0.2,,0.93,
Q21-21,0.69,,0.15,,2.29,
Q22-21,0.51,,0.23,,1.34,
Q23-21,0.1,,0.59,,-1.29,
Q24-21,0.01,,0.2,,-0.54,
Q01-22,0.39,,0.34,,0.53,
Q02-22,0.39,,0.35,,0.53,
Q03-22,0.42,,0.43,,0.41,
Q04-22,0.42,,0.32,,0.71,
Q05-22,0.48,,0.35,,0.86,
Q06-22,0.59,,0.4,,1.15,
Q07-22,0.16,,0.44,,-0.66,
Q08-22,0.18,,0.27,,-0.09,
Q09-22,-0.06,,0.31,,-1.15,
Q10-22,0.3,,0.29,,0.34,
Q11-22,0.49,,0.5,,0.49,
Q12-22,0.39,,0.26,,0.81,
Q13-22,0.43,,0.34,,0.68,
Q14-22,0.23,,0.3,,0.0,
Q15-22,0.42,,0.49,,0.22,
Q16-22,0.32,,0.32,,0.34,
Q17-22,0.41,,0.44,,0.32,
Q18-22,0.1,,0.15,,-0.04,
Q19-22,0.44,,0.42,,0.48,
Q20-22,0.15,,0.26,,-0.16,
Q21-22,0.56,,0.34,,1.19,
Q22-22,-0.11,,-0.04,,-0.33,
Q23-22,0.39,,0.57,,-0.14,
Q24-22,0.1,,0.19,,-0.19,
Q01-23,0.46,,0.44,,0.51,
Q02-23,0.35,,0.36,,0.31,
Q03-23,0.3,,0.35,,0.15,
Q04-23,0.16,,0.16,,0.18,
Q05-23,0.15,,0.3,,-0.31,
Q06-23,0.07,,0.29,,-0.56,
Q07-23,-0.16,,0.18,,-1.22,
Q08-23,0.21,,0.12,,0.49,
Q09-23,-0.32,,0.18,,-1.85,
Q10-23,-0.01,,0.17,,-0.56,
Q11-23,0.02,,0.11,,-0.26,
Q12-23,0.16,,0.21,,0.03,
Q13-23,0.29,,0.24,,0.44,
Q14-23,0.21,,0.09,,0.62,
Q15-23,0.32,,0.19,,0.72,
Q16-23,0.26,,0.08,,0.82,
Q17-23,0.25,,0.27,,0.19,
Q18-23,0.13,,0.11,,0.2,
Q19-23,0.24,,0.24,,0.25,
Q20-23,0.13,,0.18,,0.0,
Q21-23,0.63,,0.2,,1.96,
Q22-23,-0.1,,-0.04,,-0.29,
Q23-23,0.52,,0.46,,0.68,
Q24-23,0.48,,-0.01,,1.97,
Q01-24,0.49,,0.25,,1.22,
Q02-24,0.32,,0.32,,0.32,
Q03-24,-0.1,,0.24,,-1.1,
Q04-24,0.06,,0.19,,-0.31,
Q05-24,0.27,,0.33,,0.09,
Q06-24,-0.03,,0.02,,-0.19,
Q07-24,0.09,,0.16,,-0.12,
Q08-24,0.25,,0.07,,0.8,
Q09-24,-0.21,,0.15,,-1.31,
Q10-24,-0.2,,-0.02,,-0.72,
Q11-24,0.21,,0.17,,0.34,
Q12-24,0.53,,0.13,,1.79,
Q13-24,0.71,,0.18,,2.32,
Q14-24,0.14,,0.14,,0.12,
Q15-24,-0.03,5.16,0.1,3.98,-0.46,8.8
Q16-24,-0.06,,0.1,,-0.6,
Q17-24,0.09,4.66,0.21,3.95,-0.31,6.73
Q18-24,-0.02,4.5,0.05,3.88,-0.23,6.28
Q19-24,0.43,4.69,0.23,3.87,1.08,7.17
Q20-24,0.26,4.83,0.05,3.74,0.96,8.2
Q21-24,0.37,4.56,0.04,3.58,1.44,7.64
Q22-24,-0.12,4.54,-0.05,3.57,-0.37,7.56
Q23-24,0.42,4.44,0.5,3.62,0.16,7.0
Q24-24,0.04,3.99,0.06,3.69,-0.02,4.91
Q01-25,0.2,3.69,0.28,3.72,-0.04,3.6
Q02-25,0.12,3.48,0.22,3.61,-0.17,3.09
Q03-25,0.15,3.74,0.27,3.63,-0.25,3.98
Q04-25,0.14,3.81,0.21,3.66,-0.11,4.18
Q05-25,0.14,3.67,0.24,3.56,-0.19,3.89
Q06-25,0.21,3.93,0.18,3.72,0.34,4.44
Q07-25,0.12,3.96,0.34,3.9,-0.59,3.95
Q08-25,0.2,3.9,0.13,3.96,0.42,3.57
Q09-25,0.09,4.22,0.16,3.97,-0.15,4.78
Q10-25,0.19,4.62,0.15,4.15,0.35,5.91
Q11-25,0.1,4.51,0.22,4.2,-0.29,5.25
Q12-25,0.16,4.13,0.2,4.28,0.03,3.43
Q13-25,0.15,3.55,0.15,4.25,0.16,1.24
Q14-25,0.07,3.48,0.11,4.22,-0.08,1.04
Q15-25,-0.02,3.49,0.09,4.21,-0.41,1.1
Q16-25,0.1,3.65,0.14,4.25,-0.05,1.66
Q17-25,0.18,3.74,0.22,4.26,0.03,2.01
Q18-25,0.02,3.78,0.09,4.3,-0.21,2.03
Q19-25,0.28,3.63,0.18,4.24,0.64,1.58
Q20-25,0.14,3.5,0.13,4.32,0.19,0.8
Q21-25,0.47,3.61,0.04,4.32,1.93,1.29
Q22-25,0.24,3.99,0.17,4.54,0.5,2.18
Q23-25,0.17,3.72,0.31,4.34,-0.3,1.71
Q24-25,-0.02,3.66,0.04,4.31,-0.21,1.51
Q01-26,0.31,3.77,0.43,4.47,-0.12,1.43
Q02-26,0.17,3.82,0.3,4.56,-0.27,1.34
Q03-26,0.25,3.92,0.22,4.52,0.32,1.92
Q04-26,0.34,4.13,0.17,4.48,0.91,2.96
Q05-26,0.62,4.63,0.22,4.46,1.96,5.18
Q06-26,0.14,4.55,0.15,4.44,0.09,4.92
Q07-26,0.11,4.53,0.18,4.27,-0.13,5.41
Q08-26,0.04,4.37,0.1,4.25,-0.19,4.76
Q09-26,-0.16,4.11,0.13,4.22,-1.14,3.73
