Periodo,Personal_ocupado,Remuneraciones_totales,Ingresos_totales,Gastos_consumo_b_y_s,Transporte_correos_Anual,Info_medios_masivos_Anual,Inmobiliarios_alquiler_Anual,Profesionales_cientificos_Anual,Apoyo_negocios_residuos_Anual,Educativos_Anual,Salud_asistencia_Anual,Esparcimiento_culturales_Anual,Alojamiento_alimentos_Anual,Otros_servicios_Anual
ago-13,0.12,0.04,-0.94,-1.91,-6.54,0.33,9.4,8.66,0.04,2.43,2.15,-4.6,10.71,
sep-13,-0.01,0.19,-0.27,1.78,-5.43,0.53,37.9,-17.71,-2.34,0.87,6.69,-2.87,12.77,
oct-13,0.01,-0.39,-0.54,-0.42,-1.98,-0.02,16.73,-19.63,-1.48,4.62,7.04,-2.74,10.12,
nov-13,-0.09,-0.64,0.3,-0.04,-5.28,-7.99,7.89,-12.81,2.0,6.34,7.33,-2.5,8.19,
dic-13,0.08,0.61,1.44,0.97,-0.76,-4.98,5.25,0.7,-0.64,12.06,9.69,-7.3,9.46,
ene-14,-0.69,-1.41,-1.09,-1.35,0.39,-7.95,22.19,5.71,-0.97,-0.72,2.19,-8.54,0.85,
feb-14,-0.15,-0.12,-0.46,-0.24,-0.8,-1.58,7.66,-3.61,-1.65,0.2,3.87,-4.93,-1.39,
mar-14,-1.29,1.75,2.18,3.22,-0.68,11.94,11.95,-2.42,2.13,-2.99,3.55,-7.66,-3.04,
abr-14,1.49,-1.0,-2.06,1.3,3.89,6.92,2.67,-5.66,-3.62,-1.28,0.92,-7.2,-3.69,
may-14,-0.06,-1.05,-0.01,-4.03,1.97,10.39,-1.57,-10.49,0.01,-3.27,4.26,-4.03,-6.79,
jun-14,-0.34,0.69,-0.39,-6.52,3.14,2.66,13.16,-14.61,2.25,-7.56,3.92,-3.77,-6.49,
jul-14,0.25,0.03,-0.35,5.36,3.37,0.55,12.12,-18.34,1.0,-4.19,3.16,-3.56,-5.51,
ago-14,0.08,-0.97,0.29,0.83,6.5,1.96,-4.07,-15.97,-0.07,-1.75,4.91,-3.39,-4.55,
sep-14,-0.57,0.15,-0.43,-1.1,6.34,-2.43,-3.57,1.99,2.14,-1.87,5.85,-4.32,-7.63,
