Periodo,Exportaciones_totales_Mensual,Exportaciones_totales_Anual,Importaciones_totales_Mensual,Importaciones_totales_Anual,Saldo_total_MDD,Saldo_petrolero_MDD,Saldo_no_petrolero_MDD,Export_petroleras_Mensual,Export_petroleras_Anual,Export_no_petroleras_Mensual,Export_no_petroleras_Anual,Export_agropecuarias_Anual,Export_extractivas_Anual,Export_manufacturas_Anual,Export_automotriz_Mensual,Export_automotriz_Anual,Export_resto_manuf_Anual,Import_consumo_Mensual,Import_consumo_Anual,Import_intermedios_Mensual,Import_intermedios_Anual,Import_capital_Mensual,Import_capital_Anual
feb-11,-3.89,20.65,1.36,21.54,-318.63,530.65,-849.28,-12.62,21.13,-2.22,20.56,17.95,75.68,20.19,0.62,24.18,18.73,0.99,33.23,1.92,20.89,-2.32,11.11
mar-11,3.26,20.69,0.42,16.37,473.16,1630.38,-1157.22,21.04,49.87,0.22,16.02,-2.84,111.64,15.96,0.52,18.9,14.87,-4.25,21.95,1.1,15.48,2.43,15.54
abr-11,-1.63,13.84,-0.4,12.9,116.02,1264.29,-1148.27,-5.94,35.01,-0.74,10.45,24.52,31.26,9.77,0.71,22.41,5.5,-1.1,15.53,-0.77,11.22,3.49,22.64
may-11,4.23,19.87,4.01,16.42,180.37,1291.53,-1111.16,6.23,32.9,3.83,17.56,15.38,74.62,17.03,1.96,22.24,15.14,11.95,20.64,2.75,15.48,2.33,17.26
jun-11,0.32,26.27,2.85,23.86,-563.1,975.09,-1538.19,0.6,96.31,0.26,17.82,25.08,20.79,17.53,-0.05,25.37,14.8,-0.91,39.48,3.41,20.34,4.36,30.8
jul-11,-0.41,21.22,-0.81,21.37,-437.75,730.88,-1168.63,-10.4,36.53,1.6,18.86,13.43,74.24,18.51,9.49,36.68,12.22,-0.62,37.02,-0.88,17.97,-0.61,27.28
ago-11,-1.59,14.67,-2.38,14.58,-194.74,1359.07,-1553.81,3.93,39.1,-2.57,10.98,41.57,167.64,8.96,-8.74,12.98,7.46,-3.6,26.68,-2.21,11.99,-1.82,18.56
sep-11,-0.29,14.16,3.16,19.0,-1204.21,380.5,-1584.71,-4.95,29.74,0.59,11.77,36.45,123.91,9.98,4.92,22.15,5.62,9.72,43.06,2.86,16.08,-3.97,10.7
oct-11,0.13,12.64,-2.53,11.5,-402.34,755.07,-1157.41,8.0,30.74,-1.27,9.68,36.72,-10.99,9.08,0.42,22.93,4.14,2.66,29.99,-3.29,9.13,-4.94,3.62
nov-11,2.21,10.23,1.41,11.65,-174.92,1724.58,-1899.5,5.35,20.3,1.59,8.39,20.63,58.77,7.48,-1.04,17.14,3.99,-14.39,14.05,4.27,11.44,6.23,10.05
dic-11,1.12,10.78,1.35,10.69,-245.74,1682.37,-1928.1,-1.29,14.84,1.61,10.01,12.29,95.59,9.04,4.01,20.55,4.83,1.21,5.68,0.69,10.53,6.66,19.51
ene-12,3.39,6.74,0.79,9.38,532.83,1676.11,-1143.28,-1.86,3.72,4.42,7.32,5.21,87.37,6.52,-0.18,12.29,4.4,2.05,1.23,0.78,10.85,-0.86,10.66
feb-12,0.92,12.08,2.75,10.88,-19.11,1240.31,-1259.41,3.72,23.11,0.4,10.19,11.83,49.8,9.64,2.42,14.3,7.86,13.56,13.82,0.7,9.52,3.19,16.9
mar-12,-0.3,8.21,-3.43,6.63,960.8,1315.74,-354.94,-0.08,1.62,-0.35,9.57,15.29,22.63,9.17,-0.67,12.94,7.72,-4.28,13.78,-3.73,4.29,0.07,14.21
abr-12,0.04,10.05,4.16,11.51,-284.41,1129.93,-1414.34,-8.1,-0.71,1.6,12.15,6.1,5.85,12.46,5.37,18.17,10.22,1.28,16.53,4.8,10.14,3.83,14.58
may-12,-0.25,5.32,-1.19,5.93,11.35,558.78,-547.43,-8.45,-14.43,1.17,9.28,14.88,23.18,8.85,-5.17,9.9,8.45,-2.43,1.56,-0.53,6.62,-4.08,7.41
jun-12,-3.55,1.26,-3.99,-1.11,148.51,614.58,-466.07,-12.27,-25.37,-2.18,6.62,8.46,34.98,6.21,5.52,16.02,2.48,-5.78,-3.44,-3.98,-0.99,-1.52,1.36
jul-12,1.72,3.42,2.13,1.82,28.98,681.57,-652.59,1.52,-15.44,1.74,6.77,18.47,-10.9,6.63,8.36,14.83,3.17,-0.25,-3.08,3.1,2.98,-1.57,0.38
ago-12,-0.19,4.9,-0.96,3.3,263.42,1350.07,-1086.65,19.38,-2.87,-2.93,6.36,-1.72,10.34,6.62,-13.87,8.37,5.94,1.33,1.88,-1.93,3.28,3.14,5.45
sep-12,-0.13,5.07,1.11,1.25,-111.84,1459.04,-1570.88,2.34,4.58,-0.55,5.16,1.55,16.68,5.09,0.48,3.79,5.63,1.27,-5.97,0.76,1.17,3.42,13.55
oct-12,0.31,5.26,4.31,8.36,-1335.77,459.84,-1795.61,-3.55,-6.62,1.0,7.58,-14.52,57.3,7.89,2.33,5.76,8.8,4.72,-4.08,5.13,9.97,-1.87,17.23
nov-12,1.75,4.78,-0.91,5.88,-510.79,309.39,-820.18,-4.69,-15.52,2.84,8.9,-5.6,29.62,9.15,5.01,12.22,7.91,8.83,21.94,-3.51,1.77,4.55,15.37
dic-12,0.38,4.02,-1.65,2.75,130.01,951.56,-821.55,-4.65,-18.39,1.18,8.43,3.4,-21.01,9.17,1.4,9.41,9.06,-13.56,4.14,1.28,2.36,-4.1,3.73
ene-13,-0.84,-0.24,2.87,4.86,-1023.22,1023.83,-2047.05,19.39,-0.72,-3.84,-0.15,-6.21,-24.43,0.55,-1.83,7.6,-2.24,9.37,11.61,1.85,3.44,1.54,6.24
feb-13,1.01,-0.14,0.46,2.54,-858.54,1025.35,-1883.89,-7.93,-11.86,2.66,2.1,-0.28,-21.34,2.58,1.46,6.59,0.96,0.66,-1.06,0.15,2.87,2.46,5.49
mar-13,1.38,1.55,0.49,6.69,-582.21,99.11,-681.32,-6.77,-17.77,2.73,5.25,8.08,-5.56,5.34,5.38,13.08,2.21,14.15,17.99,-2.15,4.57,-0.12,5.29
abr-13,-0.18,1.32,-0.37,2.06,-520.31,844.77,-1365.08,9.54,-1.98,-1.64,1.89,-0.35,52.28,1.43,-3.54,3.52,0.55,-7.74,7.48,1.35,1.13,-0.4,1.0
may-13,-2.59,-1.06,-1.83,1.4,-752.11,337.51,-1089.62,-20.94,-15.36,0.47,1.19,-2.82,-20.19,1.73,5.49,15.16,-3.5,-7.41,2.0,-0.42,1.24,-3.44,1.67
jun-13,2.77,5.42,0.64,6.28,-100.17,457.91,-558.08,5.63,1.91,2.39,5.91,4.79,-0.68,6.06,2.89,12.29,3.37,1.97,10.4,0.79,6.26,-2.39,0.77
jul-13,1.31,5.0,0.81,4.91,59.02,941.46,-882.44,12.93,13.36,-0.26,3.83,-5.87,9.85,4.11,-2.21,1.33,5.42,0.1,10.78,0.6,3.68,3.46,5.92
