Periodo,Exportaciones_totales_Mensual,Exportaciones_totales_Anual,Importaciones_totales_Mensual,Importaciones_totales_Anual,Saldo_total_MDD,Saldo_petrolero_MDD,Saldo_no_petrolero_MDD,Export_petroleras_Mensual,Export_petroleras_Anual,Export_no_petroleras_Mensual,Export_no_petroleras_Anual,Export_agropecuarias_Anual,Export_extractivas_Anual,Export_manufacturas_Anual,Export_automotriz_Mensual,Export_automotriz_Anual,Export_resto_manuf_Anual,Import_consumo_Mensual,Import_consumo_Anual,Import_intermedios_Mensual,Import_intermedios_Anual,Import_capital_Mensual,Import_capital_Anual
feb-18,4.11,11.79,2.9,11.22,-441.83,-1742.45,1300.62,7.52,37.0,3.85,10.19,8.44,5.18,10.34,11.25,18.28,6.27,5.77,12.19,2.23,10.12,4.05,18.65
mar-18,2.93,16.29,2.86,13.59,-426.68,-2038.44,1611.76,-5.23,45.16,3.58,14.65,5.79,49.74,14.62,5.5,24.27,9.61,2.79,15.14,3.56,12.96,-2.3,16.39
abr-18,-2.87,11.62,-2.17,12.47,-684.98,-1613.1,928.12,7.19,55.61,-3.6,9.14,6.28,19.25,9.09,-7.83,14.05,6.54,-2.32,15.62,-2.37,12.3,-0.35,9.46
may-18,-1.8,10.13,1.78,11.42,-2028.5,-1712.76,-315.74,-4.05,75.2,-1.61,7.02,6.15,38.97,6.6,-7.55,4.51,7.69,-2.15,12.35,2.89,11.65,-1.19,8.38
jun-18,1.92,8.98,1.35,11.83,-1849.06,-2212.16,363.1,-5.23,43.69,2.48,7.11,4.65,10.39,7.16,9.15,8.48,6.45,2.26,12.35,0.59,11.48,6.19,13.85
jul-18,0.59,10.19,0.38,13.45,-1779.98,-2281.03,501.06,-3.52,29.77,0.89,9.05,0.43,19.28,9.28,1.05,12.65,7.51,0.72,13.0,0.03,12.88,2.66,18.5
ago-18,1.1,10.39,-0.12,9.08,-1322.7,-1824.54,501.84,10.01,48.75,0.48,8.28,-7.4,10.4,9.02,1.61,12.71,7.06,2.14,15.54,-0.01,8.16,-3.86,7.68
sep-18,3.96,14.77,0.77,11.25,-125.89,-1724.94,1599.05,3.89,47.27,3.97,12.88,-4.72,2.18,13.87,8.37,20.88,10.07,-2.63,7.32,1.26,11.72,1.81,13.18
oct-18,-2.6,9.4,1.04,9.34,-1559.0,-2150.81,591.81,-9.08,16.37,-2.11,8.94,0.44,-16.16,9.71,-4.54,12.7,8.07,0.16,8.65,1.15,8.94,1.37,13.45
nov-18,-2.4,3.72,-0.14,10.68,-2423.98,-2616.91,192.92,-8.73,-6.03,-1.96,4.43,-4.58,-10.9,5.07,-2.35,6.16,4.46,-1.78,5.28,1.06,12.47,-7.19,4.41
dic-18,1.59,4.13,-4.64,-0.28,20.92,-1932.55,1953.46,-5.39,-18.07,2.05,5.87,-8.24,16.53,6.41,-0.58,6.55,6.34,-5.14,-9.45,-4.34,2.03,-6.45,-4.86
ene-19,-1.04,5.27,1.62,5.52,-988.03,-1750.74,762.71,4.73,-9.94,-1.39,6.43,6.51,-27.9,7.09,-6.07,5.75,7.79,-1.07,-1.72,1.24,7.25,8.72,2.19
feb-19,2.61,3.75,-0.62,1.92,233.13,-1271.18,1504.31,20.9,1.27,1.43,3.95,4.25,2.5,3.96,7.17,1.86,5.16,1.75,-5.46,-0.49,4.4,-4.69,-6.39
mar-19,-0.8,-0.0,-0.33,-1.23,50.3,-1923.56,1973.87,-10.31,-4.15,-0.07,0.3,1.94,-5.25,0.32,5.15,1.53,-0.4,3.66,-4.66,-0.7,0.1,-2.75,-6.82
abr-19,2.13,5.15,1.5,2.47,291.89,-2161.74,2453.63,-5.43,-15.44,2.65,6.8,13.91,-21.78,7.03,-1.8,8.17,6.39,5.54,3.02,0.77,3.32,1.73,-4.88
may-19,-0.28,6.77,-0.95,-0.28,551.26,-1909.09,2460.35,5.06,-7.42,-0.62,7.88,4.76,6.6,8.04,-1.23,15.56,4.26,-4.45,0.59,-0.24,0.17,-1.47,-5.15
jun-19,-0.36,4.38,-2.1,-3.68,1218.21,-2034.01,3252.23,-20.37,-22.21,0.98,6.31,10.16,-5.7,6.34,1.59,7.55,5.67,-1.75,-3.36,-1.3,-1.71,-9.45,-19.12
jul-19,-0.66,3.09,1.9,-2.22,243.95,-1652.67,1896.62,3.81,-16.3,-0.9,4.43,14.11,7.13,4.0,2.85,9.48,0.99,-0.91,-4.92,2.39,0.62,1.93,-19.7
ago-19,2.63,4.65,-0.73,-2.82,1539.68,-1737.58,3277.27,-7.36,-29.52,3.19,7.24,3.6,2.05,7.47,4.44,12.52,4.64,-1.7,-8.49,-1.41,-0.78,7.13,-10.53
sep-19,-4.16,-3.53,-1.23,-4.75,362.39,-1638.54,2000.93,1.29,-31.28,-4.43,-1.42,7.5,-8.53,-1.66,-8.47,-4.97,0.31,-2.16,-8.05,-0.81,-2.82,-3.48,-15.17
oct-19,-1.09,-2.03,-0.34,-6.05,76.66,-1885.72,1962.37,-6.13,-29.06,-0.82,-0.13,11.89,25.53,-0.91,-5.64,-6.07,2.03,6.77,-1.98,-2.11,-5.95,4.9,-12.22
nov-19,0.49,0.87,-1.55,-7.38,839.41,-1927.85,2767.26,4.8,-18.54,0.27,2.14,16.32,22.97,1.3,3.66,-0.29,2.21,-0.89,-1.1,-1.46,-8.3,-3.26,-8.5
dic-19,-0.24,-0.95,-0.42,-3.27,901.25,-1517.29,2418.54,13.13,-2.59,-0.94,-0.85,5.7,5.46,-1.23,-1.45,-1.17,-1.27,-3.9,0.19,0.4,-3.76,-1.92,-4.07
ene-20,2.94,3.03,1.31,-3.56,1526.25,-1584.06,3110.31,12.88,4.99,2.35,2.9,14.0,31.53,2.05,3.33,8.73,-1.35,5.04,6.38,1.07,-3.92,-2.13,-13.64
feb-20,-1.27,-0.86,-2.4,-5.29,1930.03,-2202.67,4132.7,-32.53,-41.41,0.79,2.26,9.39,-0.42,2.0,1.17,2.64,1.64,-3.21,1.2,-2.07,-5.45,-4.04,-13.05
mar-20,-4.69,-4.76,-4.61,-9.36,1809.45,-2147.34,3956.79,-21.69,-48.85,-3.94,-1.71,9.41,19.35,-2.49,-3.72,-6.02,-0.37,-13.64,-15.69,-1.98,-6.66,-13.75,-22.89
abr-20,-38.05,-42.22,-22.47,-30.77,-4275.95,-1259.95,-3016.0,-32.1,-63.27,-38.26,-40.88,-13.58,18.27,-42.88,-78.37,-79.3,-22.47,-31.91,-45.61,-22.63,-28.34,-5.53,-28.39
may-20,-19.54,-53.38,-18.71,-43.19,-3662.45,-489.33,-3173.12,10.32,-61.43,-20.72,-52.84,-1.2,-33.57,-55.39,-50.69,-89.67,-36.27,-16.38,-52.4,-20.18,-42.66,-9.1,-33.94
jun-20,75.69,-17.81,24.41,-27.8,4761.97,-384.7,5146.67,32.14,-36.0,78.08,-16.84,11.96,10.24,-18.43,547.21,-34.18,-9.63,6.77,-48.27,28.66,-25.25,11.99,-18.29
jul-20,9.1,-9.73,4.02,-26.3,6574.97,-738.89,7313.85,2.89,-36.56,9.35,-8.24,-11.06,5.56,-8.34,43.95,-7.87,-8.62,23.39,-35.58,2.21,-25.39,-0.47,-20.21
ago-20,9.26,-3.9,9.33,-18.84,7164.18,-655.71,7819.89,29.68,-11.2,8.48,-3.54,0.93,41.54,-4.37,2.87,-9.25,-1.42,12.63,-26.19,9.68,-17.0,2.07,-23.97
sep-20,-0.63,-0.37,6.84,-12.2,4807.83,-947.45,5755.28,-11.28,-22.22,-0.15,0.78,16.16,27.57,-0.23,-2.31,-3.14,1.41,2.92,-22.36,7.75,-9.83,3.91,-18.15
oct-20,6.24,7.01,1.34,-10.72,6722.84,-1241.01,7963.85,-10.4,-25.76,6.92,8.64,6.86,64.18,7.86,13.28,16.28,3.44,-0.22,-27.44,1.66,-6.36,0.42,-21.64
nov-20,-3.01,3.28,7.66,-2.36,2949.01,-1140.61,4089.63,23.41,-12.57,-3.92,4.11,-4.07,49.87,3.77,-10.62,0.26,5.72,13.4,-16.98,6.81,1.5,8.13,-12.42
dic-20,3.44,7.1,1.89,-0.1,3609.15,-1129.88,4739.03,20.02,-7.25,2.72,7.96,-0.84,14.8,8.24,5.84,7.68,8.56,4.15,-10.03,1.53,2.64,2.21,-8.74
ene-21,0.24,4.29,2.95,1.51,2625.4,-1155.79,3781.2,1.54,-16.58,0.18,5.66,-7.95,42.49,5.71,1.95,6.24,5.41,1.56,-13.0,3.01,4.62,4.33,-2.71
feb-21,-4.93,0.42,-4.27,-0.43,2247.76,-1267.8,3515.56,1.33,25.3,-5.26,-0.68,3.32,42.44,-1.5,-12.4,-8.01,2.15,-1.9,-11.83,-5.36,1.11,2.68,4.09
mar-21,3.95,9.52,22.22,27.57,-4271.5,-4458.89,187.39,6.86,70.98,3.79,7.31,5.0,38.21,6.86,-1.28,-5.67,13.96,8.07,10.34,26.59,30.58,3.25,24.61
abr-21,-0.27,76.3,-11.21,46.1,574.79,-1582.16,2156.95,-0.47,150.62,-0.26,73.36,15.18,14.8,78.89,8.22,372.02,35.02,-0.82,60.74,-13.15,46.58,-5.26,24.97
may-21,2.32,124.2,4.86,88.46,-407.86,-1811.36,1403.5,7.31,143.78,2.03,123.12,13.57,77.76,134.66,-0.21,855.36,69.51,11.44,114.2,3.97,90.93,3.71,42.58
jun-21,0.38,28.09,-0.3,51.03,-131.87,-1653.06,1521.19,8.22,99.65,-0.09,25.17,1.61,76.91,25.58,-6.07,38.65,20.25,-1.59,97.43,0.11,48.56,-2.27,24.42
jul-21,0.52,18.03,6.84,55.12,-2723.1,-1994.23,-728.86,6.63,106.89,0.13,14.62,19.85,49.02,13.75,-5.37,-8.86,27.34,4.85,67.76,7.24,55.88,5.98,32.48
ago-21,-1.74,6.15,-2.54,38.28,-2322.06,-2066.31,-255.74,-0.59,58.6,-1.81,3.74,17.01,24.41,2.73,-3.28,-14.31,12.2,-8.19,36.74,-1.68,39.73,-2.3,26.81
sep-21,1.47,8.4,-0.22,29.13,-1631.12,-1980.11,348.99,-6.95,66.34,2.06,6.04,7.06,4.75,6.01,3.41,-9.3,14.26,2.71,36.47,-0.95,28.46,2.82,25.48
oct-21,1.05,3.11,2.67,30.82,-2337.87,-1999.45,-338.42,8.57,101.55,0.57,-0.25,7.11,5.03,-0.7,-0.42,-20.26,10.85,4.68,43.18,2.44,29.44,1.9,27.33
nov-21,8.68,15.54,2.86,24.98,6.68,-1989.74,1996.42,6.07,73.23,8.86,13.01,19.9,0.05,13.01,24.05,10.67,14.24,3.15,30.23,2.56,24.3,5.36,24.07
dic-21,-0.11,11.57,4.36,28.01,-2004.25,-2301.13,296.88,0.19,44.61,-0.13,9.88,13.12,15.74,9.64,-8.4,-4.23,17.21,7.03,33.83,4.35,27.75,0.4,21.88
ene-22,-6.64,3.91,-4.12,19.22,-3055.84,-2254.56,-801.28,-5.6,34.45,-6.71,2.33,10.84,-14.55,2.35,-14.89,-20.05,15.02,0.6,32.56,-5.37,17.36,0.88,17.85
feb-22,17.36,28.28,7.42,33.79,891.33,-1744.49,2635.82,15.23,52.88,17.51,26.91,6.09,24.59,27.95,45.97,33.22,25.29,3.68,40.09,9.2,35.41,-3.34,10.95
mar-22,-3.89,18.61,2.2,11.87,-2087.51,-2163.18,75.68,15.85,65.76,-5.21,15.91,5.49,-5.77,16.9,-13.9,16.18,17.24,6.82,38.47,1.2,8.25,4.89,12.72
abr-22,2.18,21.53,3.19,30.01,-2631.94,-2561.55,-70.39,12.82,87.9,1.31,17.74,17.93,14.28,17.79,2.84,10.41,21.65,3.87,45.01,2.88,28.22,5.24,25.22
may-22,-0.25,18.48,0.98,25.21,-3254.52,-3216.14,-38.38,-7.56,61.86,0.42,15.87,9.04,8.45,16.33,-3.52,6.74,21.22,-2.02,27.49,1.51,25.18,0.88,21.8
jun-22,1.8,20.16,4.03,30.65,-4461.4,-4323.62,-137.78,2.43,53.2,1.75,18.01,8.88,-34.64,19.82,7.3,21.94,18.82,13.21,46.67,2.97,28.76,-0.69,23.77
jul-22,-2.68,16.34,-0.53,21.64,-5492.31,-4416.36,-1075.96,-6.24,34.71,-2.38,15.06,15.06,-3.92,15.53,-11.86,13.58,16.37,1.71,42.28,-1.09,18.75,1.1,18.07
ago-22,1.46,20.12,-2.95,21.13,-3221.8,-3487.66,265.85,-12.75,18.23,2.61,20.25,2.02,-23.88,22.28,18.17,38.77,15.29,-11.7,36.84,-1.95,18.43,3.65,25.26
sep-22,5.95,25.41,-0.29,21.05,-186.09,-3510.74,3324.65,2.45,30.18,6.19,25.11,-9.88,3.23,27.22,6.42,42.8,20.56,2.24,36.21,-0.8,18.61,0.53,22.46
oct-22,-5.2,17.66,-1.15,16.55,-2264.0,-3287.49,1023.48,-15.52,1.29,-4.51,18.79,3.07,-12.63,20.32,-6.78,33.69,14.64,-4.53,24.22,-0.86,14.78,1.74,22.27
nov-22,-1.38,6.77,-3.67,9.15,-1065.83,-2621.99,1556.15,-10.44,-14.47,-0.84,8.2,-0.14,2.53,8.69,1.02,8.87,8.6,-7.73,11.12,-3.22,8.31,-1.46,14.36
dic-22,0.38,7.3,1.86,6.55,-1798.0,-2411.11,613.11,17.6,0.39,-0.53,7.76,10.98,10.82,7.57,-1.47,17.12,3.3,-0.63,3.17,2.05,5.93,3.79,18.22
ene-23,6.82,22.77,2.0,13.35,493.14,-2911.33,3404.47,0.89,7.29,7.2,23.83,3.93,8.31,25.04,17.91,62.26,10.4,22.97,26.11,-0.98,10.84,-0.61,16.48
feb-23,-7.32,-3.05,-1.19,4.25,-2671.28,-3077.49,406.21,-13.99,-19.91,-6.93,-1.92,8.02,-11.58,-2.11,-16.78,-7.5,0.78,-3.8,17.01,-1.39,0.1,5.15,26.7
mar-23,2.05,2.94,-1.36,0.63,-1005.5,-2631.48,1625.98,2.79,-28.94,2.01,5.55,5.7,15.04,5.36,8.41,16.47,0.2,-0.91,8.54,-1.67,-2.74,0.59,21.51
abr-23,-1.08,-0.35,2.91,0.35,-2979.74,-2342.35,-637.39,5.55,-33.52,-1.45,2.68,-3.13,18.49,2.66,-12.26,-0.63,4.22,2.93,7.56,2.79,-2.82,3.87,19.93
may-23,2.08,1.99,-1.57,-2.18,-1170.18,-1394.43,224.25,-0.85,-28.7,2.26,4.56,0.34,-29.74,5.39,19.84,23.43,-2.7,-0.05,9.72,-2.13,-6.31,0.62,19.61
jun-23,1.47,1.65,-0.07,-6.04,-410.44,-983.26,572.82,4.64,-27.16,1.29,4.09,1.34,65.53,3.32,-4.91,9.39,0.4,-4.03,-6.99,-0.1,-9.1,6.3,28.04
jul-23,-0.72,3.7,-0.91,-6.4,-310.22,-1589.33,1279.11,-5.8,-26.82,-0.42,6.17,2.44,-25.1,6.98,8.5,34.66,-4.65,1.91,-6.81,-1.19,-9.19,-2.75,23.17
ago-23,0.76,2.98,0.49,-3.09,-176.28,-1882.95,1706.67,15.17,-3.39,-0.05,3.42,7.94,12.99,3.08,-3.26,10.24,-0.57,9.89,15.98,-1.17,-8.48,-0.67,18.02
sep-23,0.91,-1.92,3.9,0.98,-1677.21,-2358.18,680.97,9.83,3.57,0.33,-2.28,14.92,25.04,-3.27,2.99,6.69,-8.32,8.8,23.42,2.6,-5.34,5.77,24.18
oct-23,-1.66,1.75,-2.39,-0.29,-1267.73,-2379.5,1111.77,-11.38,8.64,-0.97,1.34,4.08,-15.91,1.54,1.85,16.56,-5.9,-5.94,21.6,-1.14,-5.62,-5.6,15.21
nov-23,-1.48,1.64,-0.92,2.56,-1536.91,-2457.48,920.56,-16.73,1.01,-0.52,1.67,1.41,-22.23,2.13,-6.88,7.45,-0.58,-0.78,30.76,-1.1,-3.55,0.28,17.25
dic-23,3.18,4.47,-0.48,0.2,257.03,-1739.08,1996.11,10.87,-4.78,2.77,5.05,-3.0,-14.63,5.79,7.53,17.26,-0.01,1.89,34.08,-1.01,-6.45,-0.34,12.58
ene-24,-1.79,-3.96,-0.57,-2.32,-360.7,-1424.8,1064.1,7.33,1.3,-2.31,-4.27,3.26,11.79,-4.82,-6.66,-7.17,-3.46,-0.74,8.23,-1.12,-6.58,3.89,17.67
feb-24,4.88,8.69,8.12,6.89,-1996.72,-1727.75,-268.97,-1.23,16.33,5.26,8.27,13.12,-7.66,8.36,10.11,22.82,1.24,4.96,18.09,9.8,4.02,1.19,13.24
mar-24,-3.91,2.34,-2.66,5.47,-2589.92,-2750.03,160.11,-28.59,-19.18,-2.46,3.52,8.12,-24.63,3.92,-9.59,2.43,4.72,2.56,22.23,-4.23,1.31,0.83,13.51
abr-24,-0.4,3.04,0.5,3.01,-3055.05,-1863.05,-1192.01,4.21,-20.21,-0.6,4.41,16.3,-3.96,4.09,2.98,20.22,-3.21,-3.73,14.32,1.45,-0.01,0.7,10.04
may-24,4.33,5.3,-0.95,3.65,-400.92,-1157.62,756.7,40.61,13.15,2.69,4.85,8.46,50.27,4.13,1.43,1.76,5.49,-1.25,12.95,-0.87,1.27,-1.05,8.22
jun-24,-3.31,0.34,2.03,5.84,-3179.63,-2107.11,-1072.52,-29.7,-23.99,-1.68,1.78,2.04,13.47,1.5,-3.2,3.58,0.41,-1.91,15.45,3.17,4.58,-0.03,1.77
jul-24,5.42,6.54,0.13,6.95,-535.82,-1714.95,1179.13,7.67,-13.12,5.32,7.64,-2.83,35.16,7.7,5.36,0.58,11.92,0.28,13.6,0.61,6.49,-3.76,0.71
ago-24,-3.42,2.12,2.18,8.75,-3504.49,-1895.04,-1609.45,-2.22,-26.24,-3.47,3.95,1.5,4.65,4.05,-5.0,-1.23,7.03,1.28,4.7,2.7,10.66,-0.51,0.87
sep-24,-0.19,1.01,-5.42,-1.0,-644.44,-2125.29,1480.85,-17.78,-44.78,0.62,4.25,11.42,25.97,3.55,-2.53,-6.52,9.49,-2.78,-6.45,-6.63,0.71,0.18,-4.46
oct-24,4.26,7.09,2.06,3.52,459.83,-1441.29,1901.12,29.49,-19.31,3.32,8.76,5.73,56.64,8.17,12.13,2.92,11.39,-4.54,-5.05,3.63,5.58,0.74,1.95
nov-24,-0.79,7.84,2.47,7.06,-1262.6,-1265.63,3.03,10.51,7.08,-1.32,7.88,6.73,49.4,7.33,-7.99,1.69,10.44,3.46,-1.0,1.82,8.7,6.1,7.87
dic-24,-1.87,2.57,-2.22,5.18,-1048.18,-1753.48,705.3,-9.12,-12.22,-1.49,3.41,3.68,56.61,2.56,-4.17,-9.37,9.64,-5.46,-8.14,-0.9,8.82,-7.44,0.18
ene-25,1.44,5.94,-0.09,5.69,-255.48,-2430.77,2175.29,-27.02,-40.32,2.82,8.84,7.8,14.86,8.77,3.05,0.05,13.62,1.55,-6.02,0.18,10.25,-4.77,-8.17
feb-25,-0.26,0.75,-3.17,-5.35,1280.51,-1778.59,3059.1,19.44,-27.83,-0.93,2.44,-11.3,17.24,2.82,-2.58,-11.48,11.35,-0.35,-10.78,-4.31,-3.91,1.96,-7.47
mar-25,1.54,6.47,3.41,0.56,343.9,-1016.32,1360.21,4.38,5.49,1.42,6.51,-9.21,35.6,6.75,4.67,2.48,9.01,-5.04,-17.39,5.87,6.23,-2.87,-10.86
abr-25,0.62,7.56,1.77,1.83,-261.43,-2857.58,2596.15,-10.88,-9.78,1.11,8.35,-11.43,44.58,8.58,-3.71,-4.18,15.76,11.18,-4.58,0.22,4.94,0.63,-10.93
may-25,-0.12,2.98,-0.56,2.23,-22.83,-1970.13,1947.29,1.82,-34.67,-0.19,5.3,-9.15,35.44,5.37,-0.93,-6.41,11.83,-2.69,-5.97,-0.0,5.86,-1.74,-11.55
jun-25,1.4,7.99,0.81,1.0,293.58,-2375.23,2668.81,-23.86,-29.23,2.37,9.64,-7.61,-6.03,10.76,5.43,1.93,15.55,0.58,-3.59,0.98,3.62,-0.35,-11.83
jul-25,0.57,3.02,1.18,2.05,-34.35,-2003.67,1969.32,18.22,-22.3,0.06,4.17,-2.77,23.45,4.09,-4.44,-7.54,10.29,5.15,1.1,-0.2,2.78,6.76,-2.19
ago-25,3.76,10.68,3.8,3.68,-56.02,-2032.26,1976.24,-5.23,-24.69,4.07,12.3,-10.88,43.31,12.72,3.46,0.69,19.01,-1.6,-1.78,5.62,5.7,-2.33,-3.97
sep-25,-0.93,9.86,0.85,10.55,-1065.93,-2133.33,1067.4,-5.93,-13.84,-0.78,10.74,-20.15,18.69,11.95,-5.83,-2.73,19.33,-0.74,0.29,1.54,14.95,-2.68,-6.71
oct-25,8.32,14.14,3.73,12.35,1465.19,-2042.21,3507.4,5.28,-29.95,8.41,16.2,-17.29,19.62,17.5,-0.79,-13.94,35.32,5.82,11.16,3.72,15.05,0.14,-7.26
nov-25,-3.17,11.41,0.09,9.74,-506.62,-2457.54,1950.91,-2.76,-38.37,-3.18,14.02,-17.0,52.93,14.51,6.97,0.06,21.86,-0.45,6.97,0.29,13.32,-0.93,-13.41
dic-25,-0.15,13.35,0.24,12.51,-740.8,-2347.68,1606.88,-5.27,-35.75,-0.01,15.73,-14.56,34.68,16.53,-5.2,-1.02,25.14,5.77,19.67,-0.97,13.23,2.07,-4.51
ene-26,0.31,12.08,1.23,13.99,-1293.12,-2268.51,975.39,-24.14,-33.21,0.96,13.64,-11.62,80.3,13.33,-2.27,-6.14,22.85,-14.99,0.18,4.69,18.33,-0.87,-0.6
feb-26,3.13,15.89,2.54,20.71,-979.51,-2233.38,1253.87,33.7,-25.24,2.51,17.59,-12.42,107.97,17.1,0.7,-2.97,26.63,4.87,5.43,2.9,27.25,-5.06,-7.44
mar-26,8.52,23.86,2.74,19.93,2499.38,-2481.75,4981.13,8.88,-22.02,8.51,25.81,-4.62,97.35,25.57,8.23,0.33,38.1,3.13,14.5,2.23,22.86,7.76,2.68
