Periodo,Trimestral,Anual,Primarias_Trimestral,Primarias_Anual,Secundarias_Trimestral,Secundarias_Anual,Terciarias_Trimestral,Terciarias_Anual,Mineria_Anual,Energia_agua_gas_Anual,Construccion_Anual,Manufacturas_Anual,Comercio_mayoreo_Anual,Comercio_menudeo_Anual,Transportes_Anual,Servicios_financieros_Anual,Servicios_inmobiliarios_Anual,Servicios_profesionales_Anual,Actividades_gubernamentales_Anual,Demanda_consumo_privado_Anual,Demanda_consumo_gobierno_Anual,Demanda_FBCF_total_Anual,Demanda_FBCF_privada_Anual,Demanda_FBCF_publica_Anual,Demanda_export_byserv_Anual,Demanda_import_byserv_Anual,Demanda_consumo_privado_Trimestral,Demanda_consumo_gobierno_Trimestral,Demanda_FBCF_total_Trimestral,Demanda_export_byserv_Trimestral,Demanda_import_byserv_Trimestral
T4-82,-1.9147,-3.82,-5.681,-12.34,-4.1834,-6.4,-0.74,-1.37,,,,,,,,,,,,,,,,,,,,,,,
T1-83,-2.2223,-4.62,9.3568,-4.15,-4.5717,-10.63,-0.47,0.22,,,,,,,,,,,,,,,,,,,,,,,
T2-83,-1.3506,-6.42,-1.9668,-4.37,-2.4709,-12.79,-1.45,-1.88,,,,,,,,,,,,,,,,,,,,,,,
T3-83,0.0721,-5.54,3.1194,4.27,-0.0523,-10.87,0.54,-2.11,,,,,,,,,,,,,,,,,,,,,,,
T4-83,1.4311,-1.89,2.8271,13.68,1.569,-5.52,0.98,-0.42,,,,,,,,,,,,,,,,,,,,,,,
T1-84,1.5279,2.66,-2.0193,1.85,1.9442,0.93,3.52,3.57,,,,,,,,,,,,,,,,,,,,,,,
T2-84,1.1407,3.28,0.4017,4.31,1.0827,4.61,-2.3,2.68,,,,,,,,,,,,,,,,,,,,,,,
T3-84,0.4629,4.81,1.2382,2.41,1.663,6.41,1.67,3.83,,,,,,,,,,,,,,,,,,,,,,,
T4-84,0.5794,3.28,-1.4011,-1.8,1.2904,6.11,-1.02,1.78,,,,,,,,,,,,,,,,,,,,,,,
T1-85,0.5302,2.08,-1.0128,-0.79,1.5171,5.67,1.64,-0.06,,,,,,,,,,,,,,,,,,,,,,,
T2-85,0.3104,2.75,9.1671,7.87,-0.335,4.19,-0.86,1.41,,,,,,,,,,,,,,,,,,,,,,,
T3-85,0.1356,1.39,-5.9281,0.23,0.5629,3.06,0.48,0.22,,,,,,,,,,,,,,,,,,,,,,,
T4-85,-0.4409,1.32,3.4097,5.12,-0.3722,1.37,-0.23,1.02,,,,,,,,,,,,,,,,,,,,,,,
T1-86,-1.4865,-2.29,0.0489,6.25,-3.0972,-3.24,-1.43,-2.03,,,,,,,,,,,,,,,,,,,,,,,
T2-86,-1.7065,-2.97,-1.9641,-4.58,-2.753,-5.59,0.06,-1.12,,,,,,,,,,,,,,,,,,,,,,,
T3-86,-1.3777,-5.01,-0.2671,1.16,-3.0994,-9.03,-0.84,-2.42,,,,,,,,,,,,,,,,,,,,,,,
T4-86,-0.6597,-5.43,-4.9311,-7.0,-1.6896,-10.23,0.17,-2.03,,,,,,,,,,,,,,,,,,,,,,,
T1-87,1.2533,-2.49,6.2311,-1.26,1.9454,-5.56,0.05,-0.56,,,,,,,,,,,,,,,,,,,,,,,
T2-87,2.0678,1.48,0.2646,0.99,5.4829,2.44,1.62,1.0,,,,,,,,,,,,,,,,,,,,,,,
T3-87,1.4863,3.97,-0.1448,1.11,1.5344,7.34,-0.07,1.78,,,,,,,,,,,,,,,,,,,,,,,
T4-87,0.3385,5.55,-2.4523,3.75,0.8516,10.11,1.26,2.89,,,,,,,,,,,,,,,,,,,,,,,
T1-88,-0.2987,3.78,-0.8622,-3.18,-0.7695,7.18,-0.38,2.45,,,,,,,,,,,,,,,,,,,,,,,
T2-88,-0.5326,0.64,-0.0326,-3.46,-1.1452,0.45,-0.08,0.73,,,,,,,,,,,,,,,,,,,,,,,
T3-88,0.3214,-0.07,0.1752,-3.16,0.0922,-0.98,0.03,0.83,,,,,,,,,,,,,,,,,,,,,,,
T4-88,1.4782,0.6,-3.6451,-4.34,2.4134,0.55,1.47,1.04,,,,,,,,,,,,,,,,,,,,,,,
T1-89,1.3791,3.2,3.4111,-0.22,1.7745,3.13,1.95,3.4,,,,,,,,,,,,,,,,,,,,,,,
T2-89,0.5679,3.41,-7.9101,-8.08,0.2682,4.61,0.05,3.54,,,,,,,,,,,,,,,,,,,,,,,
T3-89,0.4065,5.26,14.0547,4.66,1.3399,5.91,1.24,4.8,,,,,,,,,,,,,,,,,,,,,,,
