Periodo,Total_Mensual,Total_Anual,Maquinaria_y_equipo_Mensual,Maquinaria_y_equipo_Anual,Construcción_Mensual,Construcción_Anual,Construccion_residencial_Anual,Construccion_no_residencial_Anual,Maquinaria_nacional_Anual,Maquinaria_importada_Anual
ago-16,3.32,-1.48,6.6,3.28,0.1,-5.4,-1.64,-8.92,9.75,-2.61
sep-16,-0.23,-2.74,0.04,1.53,-0.24,-6.28,-5.36,-6.85,2.14,1.63
oct-16,1.28,2.02,0.41,1.73,1.72,2.12,7.37,-2.44,3.45,-0.11
nov-16,1.3,2.1,-1.44,-1.74,4.67,6.13,11.85,1.28,-2.3,-1.99
dic-16,-0.22,4.23,4.38,8.62,-4.68,0.28,-1.8,1.8,12.25,6.59
ene-17,-1.96,1.44,-3.6,4.03,-0.36,-0.71,-1.19,-0.33,3.59,3.77
feb-17,-1.39,-1.85,-1.66,0.69,-0.97,-3.15,-0.72,-5.36,-5.58,5.35
mar-17,0.99,0.72,1.12,5.33,0.37,-3.3,2.39,-8.64,4.73,4.97
abr-17,-3.13,-2.51,-2.57,0.57,-3.63,-4.99,-4.76,-4.32,-6.38,8.44
may-17,2.43,1.0,4.88,8.12,0.71,-4.93,-1.41,-8.5,3.12,12.01
jun-17,0.84,1.17,-0.47,5.06,1.91,-2.08,3.71,-7.95,3.77,6.2
jul-17,-1.26,1.79,-0.47,6.9,-1.51,-2.22,0.5,-5.14,3.95,9.39
ago-17,0.89,-0.61,-0.21,0.07,1.86,-0.51,4.89,-5.95,-9.78,9.35
sep-17,-0.13,-0.51,-3.11,-3.08,2.22,1.94,7.27,-3.62,-6.59,-0.34
oct-17,-0.54,-2.3,-1.09,-4.53,-0.69,-0.48,3.29,-4.11,-11.34,1.08
nov-17,0.09,-3.47,2.33,-0.87,-1.16,-6.02,-3.1,-8.15,-7.23,6.01
dic-17,3.15,-0.21,1.7,-3.42,4.54,3.07,13.58,-5.76,-10.12,2.77
ene-18,-2.18,-0.43,0.19,0.38,-4.52,-1.23,5.26,-7.58,-10.89,8.88
feb-18,1.11,2.09,1.51,3.61,1.13,0.87,10.64,-9.34,-1.71,7.7
mar-18,0.5,1.6,2.39,4.92,-1.22,-0.73,1.32,-2.48,-0.76,10.77
abr-18,-1.85,2.94,-3.64,3.77,-1.34,1.63,7.85,-5.72,-1.61,7.08
may-18,2.1,2.62,2.95,1.85,2.48,3.42,4.15,2.95,4.45,0.33
jun-18,-0.31,1.45,-0.26,2.07,-0.1,1.38,0.85,1.23,1.29,4.06
jul-18,0.56,3.32,1.71,4.3,-0.44,2.48,5.46,-0.69,0.4,6.33
ago-18,-3.69,-1.36,-4.1,0.24,-3.54,-2.95,-6.09,0.86,-0.97,1.55
sep-18,3.0,1.73,3.8,7.38,3.17,-2.05,-2.04,-1.57,4.08,9.92
oct-18,0.28,2.58,-1.77,6.64,-0.1,-1.47,0.37,-3.34,3.31,8.86
nov-18,-5.99,-3.65,-4.73,-0.72,-6.19,-6.47,-6.86,-5.62,-4.32,1.99
dic-18,-1.1,-7.63,-7.23,-9.43,3.84,-7.1,-5.39,-9.1,-9.65,-9.13
ene-19,4.58,-1.24,7.4,-2.92,3.47,0.67,4.91,-4.36,-1.72,-3.65
feb-19,-0.78,-3.09,-0.41,-4.75,-1.44,-1.9,-4.17,0.72,-2.4,-6.8
mar-19,-1.76,-5.27,-1.3,-8.19,-1.92,-2.6,-1.67,-4.06,-6.97,-10.3
abr-19,1.39,-2.14,0.56,-4.18,1.68,0.38,2.75,-2.1,0.1,-8.2
may-19,-3.02,-7.06,-1.81,-8.62,-3.8,-5.77,-5.1,-6.53,-11.64,-5.86
jun-19,0.6,-6.21,-2.76,-10.91,4.34,-1.58,-0.31,-2.83,-8.13,-11.91
jul-19,-1.3,-7.95,0.6,-11.88,-3.79,-4.89,-4.61,-5.12,-6.43,-15.04
ago-19,0.63,-3.82,2.25,-6.05,-0.26,-1.66,2.03,-5.27,-1.21,-8.4
sep-19,-1.22,-7.77,-0.25,-9.71,-2.27,-6.84,-5.59,-8.04,-3.81,-14.19
oct-19,0.28,-7.77,1.91,-6.32,-1.88,-8.49,-4.65,-12.35,-1.96,-9.24
nov-19,0.31,-1.59,-1.65,-3.29,2.65,0.12,8.42,-8.9,6.67,-11.04
dic-19,-1.72,-2.2,-2.93,1.19,-1.37,-4.9,-0.02,-10.38,3.64,-2.66
ene-20,-0.89,-7.32,-0.55,-6.3,-0.63,-8.67,-6.86,-9.7,0.21,-10.73
feb-20,-2.63,-9.05,-3.39,-9.11,-2.03,-9.21,-7.8,-10.9,-2.25,-13.76
mar-20,-3.02,-10.22,-6.55,-13.94,0.11,-7.33,-4.04,-12.36,-8.44,-18.34
abr-20,-29.95,-37.97,-29.05,-39.28,-30.43,-36.59,-50.34,-19.3,-48.99,-31.54
may-20,-1.57,-37.04,-4.83,-41.14,0.99,-33.43,-41.09,-23.54,-44.97,-38.14
jun-20,22.17,-23.54,28.54,-22.21,17.82,-24.83,-25.78,-23.19,-23.09,-21.29
jul-20,2.44,-20.64,4.65,-19.08,0.02,-21.85,-24.27,-19.18,-16.16,-21.02
ago-20,3.54,-18.35,-0.76,-21.46,7.23,-15.99,-10.39,-22.27,-16.97,-24.6
sep-20,2.86,-14.98,9.0,-14.18,-1.52,-15.35,-12.38,-18.34,-7.8,-19.78
oct-20,1.06,-14.32,-2.68,-18.05,3.58,-10.64,-8.55,-12.85,-12.17,-22.21
nov-20,6.13,-9.35,6.47,-11.28,5.8,-7.89,-5.83,-11.6,-12.98,-9.65
dic-20,-3.17,-10.7,-0.96,-9.48,-5.6,-11.85,-11.4,-12.13,-10.68,-8.84
ene-21,0.98,-9.0,2.59,-6.63,0.71,-10.65,-10.31,-9.76,-9.97,-3.4
feb-21,2.52,-4.19,-0.04,-3.39,4.44,-4.76,-2.62,-7.02,-11.14,3.11
mar-21,2.03,0.8,5.23,8.79,-1.09,-5.9,-10.33,-0.91,0.89,15.99
abr-21,-0.02,43.87,-1.09,51.67,1.76,37.64,71.84,10.47,81.44,33.26
may-21,-0.58,45.3,-2.65,55.13,0.86,37.46,57.79,17.22,68.27,47.14
jun-21,-3.07,15.29,-0.28,20.35,-4.38,11.56,13.19,10.86,16.91,21.82
jul-21,3.39,16.36,3.34,18.85,3.19,15.09,17.45,12.11,9.89,26.6
ago-21,1.32,13.87,-3.43,15.66,4.65,12.32,5.27,21.24,4.53,23.9
sep-21,-0.55,10.1,0.04,6.16,-0.95,12.97,8.47,18.11,-5.97,18.43
oct-21,0.05,9.0,2.96,12.31,-2.15,6.73,-3.21,18.17,3.11,19.74
nov-21,0.79,3.52,0.71,6.24,0.32,1.2,-8.74,14.0,-2.01,13.03
dic-21,0.14,7.07,1.12,8.47,-1.26,5.86,-2.73,17.04,-2.18,16.82
ene-22,3.08,9.3,1.12,6.91,5.43,10.82,-4.52,30.78,4.42,10.11
feb-22,-0.21,6.39,2.3,9.41,-1.97,4.02,-4.62,14.68,6.73,11.77
mar-22,3.49,7.91,2.53,6.6,4.38,9.78,2.27,18.13,2.37,10.3
abr-22,0.1,8.04,0.33,8.13,-0.01,7.87,3.45,12.87,-2.46,18.08
may-22,-0.99,7.6,3.3,14.74,-5.01,1.59,-5.65,9.31,8.38,18.68
jun-22,-0.33,10.64,-0.35,14.66,0.31,6.57,-0.11,13.66,10.09,17.11
jul-22,-1.3,5.62,-2.33,8.36,-0.0,3.27,-4.08,11.59,1.64,13.02
ago-22,2.38,6.73,4.24,16.97,-0.46,-1.76,-6.96,4.42,12.7,19.17
sep-22,-0.59,6.68,-0.29,16.59,-0.65,-1.47,-9.98,7.63,8.95,21.98
oct-22,0.9,7.58,2.44,16.0,-0.58,0.11,-6.32,6.43,9.54,21.81
nov-22,1.97,8.83,-0.81,14.25,4.9,4.68,-3.85,14.12,12.83,14.88
dic-22,3.7,12.7,6.57,20.41,0.51,6.55,-0.22,13.36,25.77,17.25
ene-23,0.47,9.84,0.34,19.48,1.19,2.27,1.17,2.16,20.7,18.15
feb-23,1.76,12.02,1.65,18.73,1.87,6.27,-3.19,15.79,17.09,20.17
mar-23,0.31,8.57,-0.15,15.62,-0.14,1.67,-0.27,5.03,15.0,16.09
abr-23,0.35,8.85,2.75,18.41,-0.3,1.37,-7.15,11.05,22.62,16.36
may-23,3.25,13.5,0.66,15.39,4.1,11.09,0.34,23.2,13.34,16.39
jun-23,2.37,16.57,1.33,17.35,4.1,15.3,1.86,26.79,10.83,20.95
jul-23,-2.01,15.73,-2.71,16.89,-1.17,13.95,2.83,24.77,18.91,16.25
ago-23,1.81,15.09,0.41,12.59,2.97,17.88,1.65,33.29,11.61,13.01
sep-23,2.75,18.97,2.8,16.08,2.8,21.97,8.07,34.1,18.6,14.88
oct-23,1.57,19.75,-1.58,11.52,4.27,27.92,17.29,37.53,11.82,10.68
nov-23,-2.64,14.35,-1.27,11.01,-3.93,17.16,3.95,29.47,8.24,13.98
dic-23,1.23,11.62,0.7,4.89,2.4,19.37,0.24,34.55,0.16,8.22
ene-24,0.43,11.57,1.59,6.19,-1.25,16.49,8.23,22.48,-0.43,11.03
feb-24,-0.26,9.35,2.61,7.2,-3.13,10.78,0.41,19.15,2.12,11.23
mar-24,-0.73,8.22,0.2,7.57,-0.31,10.59,-2.17,24.11,3.25,11.49
abr-24,1.33,9.28,-0.92,3.73,1.79,12.9,7.53,17.42,-2.28,6.68
may-24,-0.45,5.37,-1.46,1.54,0.76,9.28,9.66,10.17,-3.68,5.06
jun-24,-1.03,1.87,1.63,1.83,-2.0,2.87,-0.55,5.07,4.97,0.11
jul-24,2.21,6.26,-1.07,3.55,3.2,7.42,7.13,8.47,4.25,1.73
ago-24,-0.91,3.42,2.44,5.63,-2.87,1.33,-0.38,1.97,5.34,6.42
sep-24,-1.34,-0.7,-3.9,-1.25,1.1,-0.35,6.67,-5.19,0.32,-2.27
oct-24,-1.7,-3.89,1.94,2.28,-4.8,-9.02,-6.26,-10.81,0.06,4.2
nov-24,0.34,-0.95,1.0,4.63,-0.25,-5.53,4.71,-12.82,5.95,3.55
dic-24,-3.6,-5.68,-4.7,-0.97,-2.28,-9.86,0.93,-16.51,-2.04,-0.23
ene-25,-0.59,-6.64,-0.94,-3.44,-0.62,-9.28,-1.97,-15.92,-5.53,-1.9
feb-25,-0.1,-6.49,-1.93,-7.71,2.12,-4.37,13.46,-16.62,-5.76,-9.21
mar-25,0.37,-5.45,-1.01,-8.83,1.14,-2.98,14.49,-17.25,-9.73,-8.43
abr-25,-1.56,-8.15,-1.46,-9.32,-1.71,-6.31,1.85,-13.26,-8.74,-9.03
may-25,1.41,-6.44,0.26,-7.74,1.83,-5.31,8.3,-18.01,-3.25,-10.23
jun-25,-1.49,-6.87,-1.17,-10.28,-1.26,-4.59,12.83,-16.6,-11.14,-9.37
jul-25,1.49,-7.52,3.73,-5.92,-0.99,-8.47,5.06,-19.22,-11.29,-2.93
ago-25,-3.06,-9.53,-4.17,-11.99,-1.09,-6.8,11.46,-19.25,-12.89,-12.03
sep-25,-0.12,-8.42,1.46,-7.08,-2.12,-9.76,-1.42,-16.22,-12.11,-3.61
oct-25,1.04,-5.86,-2.34,-10.98,4.35,-1.08,12.21,-11.87,-13.08,-9.44
nov-25,0.54,-5.68,-0.12,-11.97,1.57,0.72,9.13,-6.59,-15.85,-9.11
dic-25,0.46,-1.69,-0.28,-7.89,0.94,4.04,14.17,-2.99,-11.85,-4.84
ene-26,-1.08,-2.18,-1.08,-8.02,-0.82,3.82,7.94,-0.0,-11.14,-5.19
