Periodo,Total_Mensual,Total_Anual,Maquinaria_y_equipo_Mensual,Maquinaria_y_equipo_Anual,Construcción_Mensual,Construcción_Anual,Construccion_residencial_Anual,Construccion_no_residencial_Anual,Maquinaria_nacional_Anual,Maquinaria_importada_Anual
jul-99,-2.18,2.04,-2.14,1.18,-2.26,2.42,1.68,3.02,0.54,2.63
ago-99,1.18,3.8,4.23,8.32,-0.58,1.85,1.21,2.56,0.25,24.64
sep-99,-0.23,1.32,-1.94,4.86,0.76,-0.62,-1.59,0.61,-3.68,20.85
oct-99,0.88,3.32,0.62,6.3,0.6,1.52,0.69,2.01,-4.95,25.73
nov-99,1.11,6.61,-2.18,3.35,3.56,9.24,7.94,9.89,-1.01,11.7
dic-99,2.44,7.59,4.96,7.06,-0.12,7.84,5.89,9.18,1.66,17.85
ene-00,0.53,4.93,3.26,8.77,0.15,2.34,2.11,2.33,1.6,22.02
feb-00,0.26,4.8,-3.01,5.38,2.04,5.17,5.81,4.72,5.95,7.26
mar-00,-0.87,2.62,1.59,3.97,-1.79,2.03,2.27,2.32,12.49,-6.29
abr-00,2.99,6.95,5.8,13.21,0.84,4.36,4.92,4.15,11.99,12.86
may-00,-0.69,6.42,-2.38,9.46,0.78,5.97,7.08,5.23,9.01,10.84
jun-00,0.07,5.51,2.62,11.43,-1.41,2.43,3.02,2.1,10.79,14.52
jul-00,0.29,8.18,3.64,18.02,-1.91,2.8,4.14,1.98,14.7,22.24
ago-00,0.34,7.28,1.43,14.85,0.79,4.22,6.65,2.46,10.11,21.91
sep-00,-1.78,5.62,-0.88,16.09,-2.57,0.78,3.21,-1.29,14.61,18.12
oct-00,1.2,5.96,2.77,18.57,0.03,0.21,4.02,-2.86,18.4,19.29
nov-00,-1.65,3.06,-2.22,18.51,-1.79,-4.97,0.12,-8.82,11.08,29.41
dic-00,-2.56,-1.97,-2.42,10.18,-3.18,-7.88,-0.2,-13.16,6.76,14.36
ene-01,-1.54,-3.99,-3.51,2.96,0.62,-7.45,-1.82,-11.45,6.42,-1.47
feb-01,-0.94,-5.14,0.73,6.94,-1.77,-10.9,-5.84,-14.35,1.56,12.5
mar-01,-0.26,-4.56,-1.04,4.17,0.56,-8.77,-2.43,-12.57,-3.98,16.25
abr-01,-2.05,-9.23,0.11,-1.43,-4.02,-13.16,-6.33,-17.92,-4.81,4.62
may-01,-0.72,-9.26,-3.06,-2.11,1.8,-12.28,-4.79,-17.2,-6.54,4.39
jun-01,0.72,-8.67,0.61,-4.04,0.03,-10.99,-3.12,-16.67,-5.56,-2.61
jul-01,2.25,-6.89,0.36,-7.08,2.58,-6.92,1.75,-12.93,-6.25,-7.29
ago-01,-0.55,-7.72,-2.27,-10.46,0.98,-6.75,1.91,-13.52,-7.19,-14.89
sep-01,0.2,-5.86,2.33,-7.57,-1.03,-5.28,2.87,-12.84,-6.11,-10.7
oct-01,-2.93,-9.71,-3.53,-13.24,-2.43,-7.6,0.47,-13.79,-10.85,-16.18
nov-01,1.56,-6.75,1.26,-10.14,1.66,-4.35,3.75,-10.52,-5.02,-18.11
dic-01,1.37,-2.99,1.4,-6.62,0.32,-0.9,7.04,-7.14,-8.79,-3.7
ene-02,-3.41,-4.84,-0.38,-3.6,-3.64,-5.09,3.02,-11.66,-7.26,0.72
feb-02,-0.78,-4.68,0.35,-3.96,-1.59,-4.92,4.03,-11.98,-4.92,-2.64
mar-02,-2.48,-6.8,-2.55,-5.42,-2.96,-8.24,-0.77,-13.53,-2.2,-10.5
abr-02,1.89,-3.05,-2.0,-7.42,4.67,0.07,4.56,-3.77,-5.38,-8.9
may-02,1.66,-0.73,3.42,-1.23,0.52,-1.18,4.73,-5.73,0.51,-1.29
jun-02,-0.92,-2.34,-3.01,-4.78,-0.07,-1.28,2.5,-4.54,-3.25,-6.4
jul-02,1.28,-3.26,0.86,-4.31,1.5,-2.33,0.52,-4.74,-3.88,-5.58
ago-02,0.27,-2.46,-1.52,-3.58,1.46,-1.86,1.94,-5.3,-3.63,-3.97
sep-02,1.98,-0.73,1.69,-4.17,1.74,0.89,3.07,-0.45,-2.76,-6.03
oct-02,-0.56,1.71,-0.56,-1.22,0.16,3.56,5.25,2.27,-3.3,1.4
nov-02,1.25,1.39,1.34,-1.15,1.22,3.12,4.35,2.14,-2.41,-0.18
dic-02,-0.79,-0.76,-3.67,-6.1,-0.67,2.1,2.53,1.75,-6.03,-6.04
ene-03,-0.47,2.26,1.52,-4.31,-0.16,5.78,6.87,4.5,-6.54,-1.54
feb-03,2.27,5.4,1.55,-3.16,2.11,9.75,10.75,8.72,-5.91,0.71
mar-03,-1.91,6.01,2.07,1.43,-3.88,8.71,6.75,9.34,-6.42,13.28
abr-03,1.03,5.12,1.11,4.64,1.27,5.18,6.81,3.73,-2.5,13.67
may-03,-1.39,1.96,0.13,1.32,-1.99,2.54,2.44,1.95,-5.74,10.74
jun-03,1.0,3.94,-0.59,3.84,1.08,3.72,4.6,2.69,-2.14,12.27
jul-03,-0.21,2.41,-0.63,2.31,0.48,2.68,4.37,1.29,-6.28,14.17
ago-03,0.01,2.14,1.94,5.9,-1.12,0.08,1.77,-1.22,-4.87,21.75
sep-03,-2.32,-2.17,-3.04,0.97,-1.66,-3.26,-1.02,-4.76,-7.35,14.55
oct-03,1.64,-0.01,1.33,2.89,1.77,-1.71,1.69,-4.17,-4.46,12.75
nov-03,-1.56,-2.79,0.32,1.86,-2.84,-5.66,-3.5,-7.12,-7.22,16.54
dic-03,2.14,0.08,1.86,7.71,1.73,-3.38,-0.44,-6.01,0.98,16.44
ene-04,5.24,5.83,-1.12,4.9,9.91,6.37,12.48,0.43,0.94,10.54
feb-04,-1.74,1.68,0.82,4.15,-3.56,0.47,1.37,-0.57,0.91,9.75
mar-04,2.22,5.96,1.52,3.58,3.08,7.74,13.0,2.36,4.73,2.55
abr-04,0.59,5.5,0.52,2.98,0.05,6.44,9.78,2.84,-0.32,8.1
may-04,-0.2,6.78,1.48,4.37,-1.28,7.22,11.13,4.07,-0.11,8.71
jun-04,0.58,6.34,0.93,5.98,1.4,7.56,11.82,3.62,-0.9,13.17
jul-04,-0.71,5.8,1.09,7.8,-2.05,4.85,6.52,2.83,3.19,13.09
ago-04,-1.4,4.32,-0.56,5.16,-2.15,3.75,2.43,5.53,8.43,1.92
sep-04,1.14,8.01,0.73,9.25,1.65,7.24,7.49,7.84,7.42,11.37
oct-04,1.52,7.88,2.17,10.15,0.83,6.25,4.93,7.69,8.85,12.06
nov-04,0.77,10.44,0.63,10.49,0.73,10.16,10.37,10.12,8.78,13.73
dic-04,-0.13,7.99,0.92,9.47,-0.47,7.78,5.19,10.25,11.18,6.9
ene-05,2.32,4.99,-0.94,9.67,3.99,1.98,-1.33,5.61,5.65,14.12
feb-05,-1.89,4.83,-0.1,8.67,-2.69,2.9,4.05,1.64,7.83,8.57
mar-05,2.07,4.67,0.61,7.7,2.9,2.72,3.23,1.45,3.54,13.06
abr-05,-1.99,1.99,0.32,7.48,-2.71,-0.12,-0.39,0.01,10.53,4.05
may-05,1.07,3.28,-0.54,5.34,1.32,2.5,2.1,2.61,12.35,-2.73
jun-05,0.68,3.38,2.17,6.62,0.4,1.48,2.55,1.04,9.3,4.94
jul-05,-0.93,3.15,-0.87,4.56,-1.55,2.0,3.12,0.59,3.76,5.4
ago-05,1.62,6.31,4.63,10.01,-0.04,4.2,5.71,2.85,4.06,17.38
sep-05,0.88,6.05,0.6,9.87,0.89,3.42,4.23,2.59,9.97,9.83
oct-05,0.44,4.91,1.18,8.81,-0.02,2.55,3.74,1.19,12.49,5.98
nov-05,2.97,7.2,3.0,11.37,3.22,5.08,6.62,3.4,14.33,6.09
dic-05,1.36,8.8,2.54,13.16,1.85,7.53,9.07,6.48,9.26,16.51
ene-06,1.03,7.43,3.53,18.28,-1.31,2.04,3.19,1.19,18.16,18.94
feb-06,-1.12,8.28,-3.15,14.67,0.17,5.04,4.84,5.27,11.93,17.98
mar-06,2.47,8.7,0.14,14.13,4.02,6.19,5.81,6.38,11.42,17.21
abr-06,0.94,11.95,1.98,16.02,-0.17,8.97,11.29,7.07,7.62,26.56
may-06,0.33,11.13,0.05,16.71,0.43,8.02,10.54,5.7,9.58,26.6
jun-06,-0.2,10.16,0.32,14.6,0.01,7.6,7.41,7.98,11.68,17.96
jul-06,0.77,12.05,-1.91,13.4,1.2,10.61,13.7,7.76,14.41,12.87
ago-06,1.73,12.17,0.59,9.02,3.34,14.35,18.77,9.63,8.79,8.9
sep-06,1.02,12.32,2.97,11.59,-0.79,12.44,17.52,5.88,5.66,17.94
oct-06,-1.43,10.23,-2.49,7.54,-0.46,11.94,15.2,8.56,-0.63,16.82
nov-06,0.32,7.39,1.78,6.26,-0.34,8.08,10.61,5.63,0.87,13.38
dic-06,0.9,6.91,6.84,10.72,-0.29,5.81,10.34,2.01,0.1,20.09
ene-07,-2.41,3.27,-7.53,-1.11,-1.18,5.96,6.3,5.33,-6.44,5.42
feb-07,2.47,7.02,3.65,5.84,1.7,7.57,9.19,5.73,-0.33,13.53
mar-07,0.51,4.97,1.14,6.89,0.37,3.8,4.92,3.22,2.74,12.25
abr-07,1.53,5.58,3.0,7.96,0.01,3.99,3.44,4.5,1.08,14.94
may-07,0.22,5.47,2.74,10.86,-0.83,2.67,0.68,4.77,0.88,21.91
jun-07,-1.82,3.76,-1.16,9.22,-2.15,0.46,0.11,0.75,0.53,17.97
jul-07,3.75,6.82,1.42,12.93,3.3,2.55,-0.17,5.81,5.59,21.02
ago-07,1.24,6.31,0.83,13.21,2.78,1.98,0.46,3.36,6.45,20.24
sep-07,5.61,11.14,10.07,21.01,2.39,5.26,1.66,9.77,5.85,36.49
oct-07,-2.5,9.94,-6.97,15.45,1.2,7.02,5.44,8.64,4.26,26.44
nov-07,0.6,10.25,-0.34,13.05,1.05,8.5,7.27,10.04,3.32,23.99
dic-07,-0.43,8.79,0.49,6.34,2.1,11.1,9.23,13.21,4.22,8.85
ene-08,1.58,13.24,3.21,18.68,-1.82,10.38,5.38,14.53,14.42,24.59
feb-08,2.42,13.18,0.54,15.11,3.49,12.33,8.72,15.5,7.42,23.9
mar-08,-1.85,10.52,-1.59,12.01,-3.15,8.39,6.99,10.82,1.82,22.69
abr-08,0.55,9.46,3.88,12.97,0.12,8.51,4.96,11.46,7.36,16.13
may-08,2.3,11.72,0.24,10.22,2.88,12.58,11.06,14.21,1.94,17.93
jun-08,1.15,15.1,0.23,11.78,1.18,16.4,11.79,19.8,3.55,18.93
jul-08,1.55,12.67,2.24,12.68,-0.48,12.14,6.93,17.63,1.67,23.82
ago-08,-4.93,5.8,-3.51,7.83,-4.13,4.61,0.86,8.6,0.87,14.25
sep-08,-1.98,-1.8,-3.85,-5.81,-1.27,0.87,-3.25,5.73,-5.08,-6.83
oct-08,0.19,0.91,-0.82,0.41,1.38,1.06,0.24,2.45,-0.59,2.35
nov-08,-1.61,-1.31,-1.1,-0.36,-1.9,-1.89,-5.67,2.42,-0.9,-1.15
dic-08,-4.56,-5.4,-3.88,-4.7,0.03,-3.88,-10.11,2.06,-6.11,-4.63
ene-09,-4.69,-11.24,-17.15,-23.49,-2.12,-4.17,-13.03,3.45,-35.57,-10.21
feb-09,-0.81,-14.04,0.06,-23.86,-1.76,-9.03,-18.13,-0.72,-31.02,-17.59
mar-09,-0.35,-12.73,0.08,-22.57,-0.3,-6.36,-14.38,1.33,-31.85,-16.0
abr-09,-0.64,-13.76,-3.03,-27.72,0.23,-6.26,-14.73,2.5,-31.4,-23.6
may-09,0.13,-15.59,-2.23,-29.5,1.55,-7.48,-12.09,-3.37,-30.0,-30.08
jun-09,1.47,-15.32,6.24,-25.28,-0.45,-8.97,-14.56,-4.06,-28.14,-23.57
jul-09,1.9,-15.03,0.22,-26.75,0.31,-8.25,-9.93,-6.95,-26.09,-26.29
ago-09,-2.3,-12.68,0.19,-23.94,-1.34,-5.58,-8.95,-2.08,-29.19,-19.23
sep-09,1.09,-9.95,2.14,-19.19,0.54,-3.85,-4.24,-3.64,-22.25,-17.16
oct-09,-0.56,-10.62,3.88,-15.36,-2.93,-7.94,-14.71,-1.4,-10.87,-17.65
