Periodo,IAT_Nivel,Mensual,Anual,IAT_construccion_Nivel,IAT_construccion_Mensual,IAT_construccion_Anual,IAT_comercio_Nivel,IAT_comercio_Mensual,IAT_comercio_Anual
sep-22,53.03,0.36,0.03,52.26,-2.06,0.1,54.52,-1.53,-0.2
oct-22,54.15,1.12,0.66,55.41,3.15,4.17,58.63,4.11,5.86
nov-22,54.69,0.54,1.35,55.46,0.05,4.36,54.84,-3.79,0.15
dic-22,52.56,-2.12,-0.83,55.34,-0.12,3.63,54.05,-0.79,-0.78
ene-23,52.02,-0.54,0.74,47.58,-7.76,-4.43,52.55,-1.51,5.31
feb-23,53.65,1.63,0.74,54.2,6.62,3.28,51.68,-0.87,0.28
mar-23,51.98,-1.67,-1.84,54.14,-0.06,0.74,53.28,1.6,0.66
abr-23,53.92,1.94,0.6,54.71,0.57,0.61,52.67,-0.61,-1.23
may-23,52.0,-1.92,-1.53,48.56,-6.15,-5.92,52.67,-0.0,-2.02
jun-23,51.98,-0.02,-1.3,47.88,-0.68,-4.87,53.92,1.24,0.84
jul-23,52.01,0.03,-0.66,47.64,-0.24,-6.87,52.06,-1.86,-2.17
ago-23,53.01,1.0,0.34,48.77,1.13,-5.54,52.86,0.8,-3.19
sep-23,51.67,-1.34,-1.36,50.53,1.76,-1.73,55.43,2.57,0.91
oct-23,51.75,0.08,-2.4,54.1,3.57,-1.31,52.76,-2.67,-5.87
nov-23,51.8,0.04,-2.89,54.64,0.53,-0.82,51.89,-0.87,-2.95
dic-23,53.44,1.64,0.88,55.37,0.73,0.03,54.63,2.74,0.57
ene-24,52.75,-0.69,0.73,56.03,0.66,8.45,54.68,0.05,2.13
feb-24,53.3,0.55,-0.34,56.71,0.68,2.51,56.0,1.32,4.32
mar-24,52.39,-0.92,0.41,53.02,-3.69,-1.12,51.11,-4.89,-2.17
abr-24,50.58,-1.81,-3.34,51.89,-1.13,-2.82,52.94,1.83,0.26
may-24,51.59,1.01,-0.4,50.67,-1.22,2.11,51.46,-1.48,-1.21
jun-24,50.84,-0.76,-1.14,50.02,-0.66,2.14,46.26,-5.21,-7.66
jul-24,52.57,1.73,0.55,50.74,0.72,3.1,53.82,7.56,1.76
ago-24,54.28,1.71,1.27,49.76,-0.97,0.99,57.78,3.96,4.91
sep-24,51.38,-2.9,-0.29,51.56,1.8,1.03,49.92,-7.85,-5.51
oct-24,49.98,-1.4,-1.77,49.38,-2.18,-4.73,46.44,-3.48,-6.31
nov-24,51.73,1.74,-0.07,48.4,-0.97,-6.23,53.08,6.64,1.19
dic-24,50.83,-0.89,-2.6,44.68,-3.72,-10.69,50.57,-2.51,-4.05
ene-25,51.8,0.97,-0.95,45.57,0.88,-10.46,53.44,2.87,-1.23
feb-25,51.37,-0.43,-1.94,45.55,-0.02,-11.16,53.15,-0.29,-2.85
mar-25,50.88,-0.49,-1.51,45.12,-0.43,-7.9,52.6,-0.55,1.49
abr-25,51.35,0.47,0.77,44.81,-0.31,-7.09,53.76,1.16,0.82
may-25,51.3,-0.05,-0.29,45.05,0.25,-5.62,52.19,-1.56,0.73
