Periodo,Personal_ocupado,Remuneraciones_totales,Ingresos_totales,Gastos_consumo_b_y_s,Transporte_correos_Anual,Info_medios_masivos_Anual,Inmobiliarios_alquiler_Anual,Profesionales_cientificos_Anual,Apoyo_negocios_residuos_Anual,Educativos_Anual,Salud_asistencia_Anual,Esparcimiento_culturales_Anual,Alojamiento_alimentos_Anual,Otros_servicios_Anual
may-18,-0.43,-0.52,-1.89,1.36,-5.89,9.34,-0.89,-7.23,4.39,4.94,5.03,-11.04,1.18,
jun-18,0.03,0.19,-0.97,-0.37,-7.11,2.21,-7.74,-7.84,7.29,2.57,4.78,8.52,1.91,
jul-18,0.28,-1.02,0.24,-0.47,-7.13,1.63,1.24,-8.29,10.78,5.01,4.82,-0.7,5.19,
ago-18,0.06,0.67,1.14,-1.83,-6.32,3.42,-8.92,-0.38,6.01,5.1,11.27,2.18,5.85,
sep-18,-0.05,-0.7,-1.47,3.23,-4.79,-8.2,-10.14,-7.32,7.75,6.64,7.96,7.72,9.0,
oct-18,-0.2,0.39,0.48,-0.89,-7.1,1.65,-10.6,-3.71,3.33,3.81,7.37,-1.89,9.77,
nov-18,0.09,-0.84,-1.39,0.2,-11.42,-1.81,-21.54,-8.06,9.66,2.27,11.18,-2.94,8.5,
dic-18,-0.28,0.01,0.47,1.43,-14.23,5.27,-16.76,-6.66,4.33,-0.99,4.19,0.32,7.89,
ene-19,0.84,0.75,1.39,-5.25,-1.24,6.11,0.23,-2.48,6.08,-4.91,6.19,-3.7,0.24,-9.28
feb-19,-0.27,2.09,-0.43,3.09,0.44,-1.86,-6.19,1.41,7.44,-9.18,8.67,-10.18,2.28,-2.31
mar-19,0.12,-1.2,-0.42,-1.67,1.13,3.48,-5.73,0.3,2.41,-9.1,6.62,-11.34,2.47,-16.25
abr-19,0.49,0.48,-1.1,0.22,-3.62,-2.31,-11.23,4.84,3.04,-13.36,10.84,-8.28,-0.82,-19.17
may-19,0.33,2.62,1.55,-1.24,-0.05,-9.59,-5.65,-2.93,5.62,-11.6,5.61,-5.17,0.61,7.4
jun-19,-0.43,-0.19,-0.67,-0.29,-1.3,-3.28,1.06,-4.76,1.68,-12.79,3.35,-13.85,2.67,15.11
jul-19,0.12,0.1,1.57,2.52,-2.59,3.47,-1.79,-0.57,-0.58,-11.35,5.82,-14.36,0.63,33.05
ago-19,-0.58,0.29,0.12,1.08,0.51,2.83,-5.76,-5.66,1.83,-12.45,-3.45,-10.72,0.7,13.96
