Periodo,Trimestral,Anual,Primarias_Trimestral,Primarias_Anual,Secundarias_Trimestral,Secundarias_Anual,Terciarias_Trimestral,Terciarias_Anual,Mineria_Anual,Energia_agua_gas_Anual,Construccion_Anual,Manufacturas_Anual,Comercio_mayoreo_Anual,Comercio_menudeo_Anual,Transportes_Anual,Servicios_financieros_Anual,Servicios_inmobiliarios_Anual,Servicios_profesionales_Anual,Actividades_gubernamentales_Anual,Demanda_consumo_privado_Anual,Demanda_consumo_gobierno_Anual,Demanda_FBCF_total_Anual,Demanda_FBCF_privada_Anual,Demanda_FBCF_publica_Anual,Demanda_export_byserv_Anual,Demanda_import_byserv_Anual,Demanda_consumo_privado_Trimestral,Demanda_consumo_gobierno_Trimestral,Demanda_FBCF_total_Trimestral,Demanda_export_byserv_Trimestral,Demanda_import_byserv_Trimestral
T1-92,-0.03,3.39,-4.87,-5.11,0.65,3.35,0.67,4.02,,,,,,,,,,,,,,,,,,,,,,,
T2-92,1.38,3.68,2.99,-2.29,1.3,4.43,1.11,3.74,,,,,,,,,,,,,,,,,,,,,,,
T3-92,1.44,4.64,1.04,-1.06,1.69,6.18,0.95,3.96,,,,,,,,,,,,,,,,,,,,,,,
T4-92,-0.03,2.77,1.28,0.26,-1.55,2.07,0.34,3.11,,,,,,,,,,,,,,,,,,,,,,,
T1-93,1.09,3.93,3.54,9.13,0.23,1.65,2.6,5.09,,,,,,,,,,,,,,,,,,,,,,,
T2-93,0.01,2.55,-1.26,4.61,-0.63,-0.37,0.49,4.49,,,,,,,,,,,,,,,,,,,0.11,0.45,-0.06,-0.19,4.24
T3-93,1.16,2.27,3.43,7.03,1.26,-0.79,0.67,4.2,,,,,,,,,,,,,,,,,,,0.21,0.12,2.28,2.64,2.02
T4-93,0.63,2.94,-4.21,1.48,1.08,1.99,-0.12,3.72,,,,,,,,,,,,,,,,,,,1.9,1.03,7.78,6.07,4.69
T1-94,1.0,2.83,0.18,-2.0,1.75,3.49,1.43,2.48,1.91,-12.31,14.44,0.88,0.91,0.36,4.01,-2.68,4.1,1.45,1.26,3.03,3.22,15.57,16.91,9.85,8.01,18.81,0.78,1.58,4.9,-0.6,6.72
T2-94,2.28,5.17,7.47,6.67,1.95,6.19,1.93,3.95,0.31,-13.13,19.06,5.13,4.06,3.79,7.02,-2.5,3.74,3.22,1.06,5.19,3.42,18.91,20.9,5.76,10.84,18.72,2.21,0.65,2.83,2.43,4.15
T3-94,0.55,4.53,-9.77,-6.95,0.12,4.99,0.96,4.26,-0.32,-8.94,16.25,3.41,7.12,5.44,7.48,1.22,3.89,3.95,1.17,6.88,2.72,15.87,17.45,6.3,11.98,18.76,1.82,-0.56,-0.33,3.69,2.06
T4-94,1.08,4.99,4.44,1.46,-0.25,3.61,1.94,6.41,-2.29,1.95,8.55,3.86,14.59,9.5,7.07,16.87,3.69,5.14,1.42,5.31,2.1,3.91,4.17,2.63,8.25,15.85,0.4,0.42,-3.34,2.54,2.12
