Periodo,Trimestral,Anual,Primarias_Trimestral,Primarias_Anual,Secundarias_Trimestral,Secundarias_Anual,Terciarias_Trimestral,Terciarias_Anual,Mineria_Anual,Energia_agua_gas_Anual,Construccion_Anual,Manufacturas_Anual,Comercio_mayoreo_Anual,Comercio_menudeo_Anual,Transportes_Anual,Servicios_financieros_Anual,Servicios_inmobiliarios_Anual,Servicios_profesionales_Anual,Actividades_gubernamentales_Anual,Demanda_consumo_privado_Anual,Demanda_consumo_gobierno_Anual,Demanda_FBCF_total_Anual,Demanda_FBCF_privada_Anual,Demanda_FBCF_publica_Anual,Demanda_export_byserv_Anual,Demanda_import_byserv_Anual,Demanda_consumo_privado_Trimestral,Demanda_consumo_gobierno_Trimestral,Demanda_FBCF_total_Trimestral,Demanda_export_byserv_Trimestral,Demanda_import_byserv_Trimestral
T4-06,0.36,3.47,4.29,9.41,-0.24,2.94,0.4,3.27,-3.27,16.84,8.84,2.24,4.06,1.89,2.39,18.23,4.5,4.52,-2.93,3.54,-0.36,7.25,9.13,0.64,1.96,1.67,0.17,-0.55,0.46,-0.97,-0.77
T1-07,0.72,2.19,1.37,6.04,0.48,2.0,1.03,2.31,-1.51,9.01,6.3,1.3,1.79,1.06,2.53,12.53,2.94,2.88,-3.75,2.04,-0.36,4.67,5.99,-0.5,-0.64,2.54,0.31,1.06,0.24,0.63,2.92
T2-07,0.63,1.98,0.1,4.27,0.47,1.3,0.95,2.57,0.27,6.09,2.44,0.9,2.58,2.27,3.24,5.9,2.92,2.38,-1.4,1.42,1.11,3.96,4.68,0.87,-0.47,4.4,0.45,1.48,2.14,2.03,2.7
T3-07,0.36,2.09,0.02,5.84,-0.22,0.48,0.74,3.15,-1.93,5.71,2.63,0.04,3.02,2.84,4.14,7.24,3.86,1.74,2.76,0.35,2.81,8.33,9.46,3.62,6.44,7.27,-0.58,0.8,5.32,4.68,2.27
T4-07,0.26,1.98,0.51,2.0,0.02,0.74,0.53,3.28,-1.53,7.06,7.22,-0.99,1.25,1.13,3.59,11.46,3.99,6.29,5.3,0.95,3.92,10.54,9.76,13.89,4.71,8.41,0.78,0.52,2.5,-2.58,0.29
T1-08,-0.03,1.23,-0.4,0.22,0.13,0.4,-0.44,1.79,-4.56,6.77,8.84,-1.41,-0.29,-0.5,2.14,13.86,4.09,3.03,2.45,1.41,2.31,12.35,10.03,22.28,3.08,6.62,0.77,-0.5,1.88,-0.94,1.22
T2-08,0.74,1.34,1.07,1.2,-0.44,-0.51,1.42,2.26,-7.03,4.73,8.97,-1.76,0.74,0.04,0.31,24.84,3.86,3.27,1.75,2.23,3.0,11.91,8.4,26.57,-1.35,5.67,1.26,2.17,1.74,-2.35,1.78
T3-08,0.08,1.05,-2.57,-1.42,-0.91,-1.2,0.8,2.32,-4.23,1.85,3.02,-1.91,2.54,1.11,-0.61,22.94,3.27,3.34,1.87,2.2,2.54,4.97,0.67,23.45,-7.33,6.33,-0.61,0.35,-1.2,-1.66,2.91
T4-08,-1.58,-0.79,4.75,2.75,-1.65,-2.85,-1.89,-0.14,-2.44,-1.34,-3.52,-2.72,-1.09,-3.59,-3.64,10.56,2.46,3.89,2.39,-2.53,3.15,-1.61,-5.67,14.24,-3.45,-4.68,-3.89,1.12,-3.92,1.5,-10.1
T1-09,-6.17,-6.89,-3.26,-0.2,-7.5,-10.25,-5.05,-4.76,-4.5,-3.78,-7.91,-13.37,-10.39,-14.62,-9.75,11.62,0.44,-0.63,3.0,-7.92,3.92,-13.11,-20.34,13.77,-10.76,-19.58,-4.81,0.23,-10.02,-8.44,-14.6
T2-09,-1.68,-9.13,-2.1,-3.33,-0.98,-10.74,-1.59,-7.58,-3.1,-1.62,-7.79,-14.68,-12.55,-15.89,-13.04,3.35,-0.47,-3.09,6.38,-10.31,2.78,-14.7,-19.51,3.29,-16.84,-23.52,-1.36,1.05,-0.12,-9.01,-3.2
T3-09,3.63,-5.91,-0.87,-1.65,2.95,-7.26,3.99,-4.66,-3.41,0.86,-5.69,-9.64,-10.75,-12.9,-7.39,9.02,0.52,-4.78,2.39,-7.68,2.96,-12.37,-13.92,-6.88,-9.09,-17.55,2.3,0.53,1.5,7.5,10.95
T4-09,2.18,-2.31,1.12,-5.06,2.51,-3.33,1.82,-1.06,-3.97,1.94,-6.43,-2.4,-2.29,-3.28,-0.15,11.22,1.02,-7.15,1.74,-1.96,2.04,-7.81,-7.08,-10.22,-2.89,-2.77,2.07,0.21,1.07,8.43,6.01
T1-10,0.42,4.55,0.57,-1.31,0.64,5.17,0.84,5.08,1.17,1.66,1.86,7.81,11.08,9.73,7.73,20.04,2.82,-2.85,3.48,3.3,1.8,4.85,11.73,-13.25,13.01,18.44,0.3,-0.0,2.33,6.55,4.04
T2-10,1.09,7.49,4.51,5.35,1.06,7.34,1.15,8.0,3.14,2.06,-0.85,12.24,12.79,13.15,14.12,25.01,3.32,-1.09,2.61,6.7,2.06,6.97,11.4,-5.77,31.46,25.81,1.89,1.32,1.9,5.85,2.81
T3-10,0.95,4.71,-0.35,5.91,0.24,4.52,1.46,5.37,2.48,3.3,-2.76,7.89,9.02,11.72,8.31,16.87,2.93,2.26,4.26,4.61,2.32,4.97,5.18,4.4,29.7,14.99,0.29,0.78,-0.4,6.06,1.41
T4-10,0.82,3.32,-4.36,0.17,0.12,2.08,1.52,5.06,0.85,3.98,1.22,2.44,8.66,10.12,4.99,25.21,3.08,-0.85,1.44,4.07,1.92,7.87,6.73,11.44,19.04,10.93,1.55,-0.18,3.86,-0.48,2.26
T1-11,0.7,3.61,1.5,1.09,0.74,2.17,0.7,4.91,-0.48,7.64,-2.99,4.35,8.59,11.37,4.74,6.24,3.79,4.2,0.92,5.85,2.78,5.81,7.23,0.92,14.46,8.5,2.01,0.84,0.38,2.44,1.76
T2-11,0.3,2.81,-8.56,-11.55,1.07,2.18,0.57,4.31,-0.4,7.93,3.25,2.04,7.29,8.71,3.64,0.33,2.85,6.06,-1.42,4.18,2.21,7.62,10.71,-2.77,7.1,6.07,0.29,0.76,3.64,-0.95,0.51
T3-11,1.87,3.75,12.8,0.12,1.2,3.16,1.74,4.6,0.01,5.08,6.6,2.79,9.06,7.02,4.02,4.87,2.24,2.5,0.76,5.07,3.26,11.43,16.13,-3.81,4.88,6.47,1.14,1.82,3.13,3.86,1.79
T4-11,0.72,3.64,-2.69,1.86,1.96,5.06,0.14,3.18,3.35,4.59,9.02,4.24,4.26,1.32,4.53,4.19,2.89,5.26,4.23,3.66,4.35,9.72,16.7,-12.54,11.06,4.18,0.19,0.87,2.26,5.38,0.07
T1-12,0.95,3.91,3.34,3.71,0.61,4.93,1.35,3.85,3.06,2.3,5.7,5.52,5.31,3.64,4.73,8.36,2.39,1.27,5.98,1.15,4.7,8.71,16.09,-17.5,9.32,4.73,-0.46,1.18,-0.54,0.83,2.3
T2-12,0.62,4.23,-0.81,12.51,0.69,4.54,0.57,3.85,1.58,1.29,2.81,6.17,4.97,2.15,4.49,5.39,2.81,0.34,7.04,2.04,4.54,5.52,10.2,-12.64,14.92,4.84,1.17,0.6,0.6,4.13,0.61
T3-12,0.26,2.57,0.81,0.55,0.22,3.52,0.08,2.15,2.03,1.0,3.29,4.33,2.41,-1.36,3.23,5.91,2.85,2.89,2.38,2.01,1.84,3.18,6.43,-9.5,6.64,3.68,1.12,-0.81,0.84,-3.62,0.67
T4-12,0.78,2.63,3.21,6.65,-0.83,0.68,1.8,3.84,0.68,1.03,-3.11,1.91,5.44,4.83,2.75,4.41,2.2,3.04,0.74,2.77,1.16,-1.1,-2.45,4.5,0.75,7.12,0.93,0.2,-1.99,-0.43,3.38
T1-13,0.09,1.75,-2.17,0.96,0.31,0.38,0.03,2.49,0.38,1.59,0.83,0.24,1.2,1.61,2.56,12.65,1.61,3.25,-3.15,4.08,-0.48,-1.1,-5.69,21.83,0.74,5.32,0.8,-0.47,-0.53,0.81,0.58
T2-13,-0.41,0.71,3.24,5.08,-0.91,-1.21,-0.1,1.8,-0.23,0.99,-3.75,-0.94,-0.23,2.6,2.29,22.48,0.69,-0.0,-4.18,3.05,-0.88,-4.44,-6.12,3.94,-1.98,5.39,0.16,0.2,-2.8,1.33,0.69
T3-13,0.63,1.08,-0.87,3.33,0.31,-1.13,0.67,2.41,-0.88,2.05,-4.61,-0.27,-0.1,4.12,2.84,18.01,0.91,-0.23,0.11,2.27,1.88,-5.96,-5.31,-8.88,6.49,4.72,0.35,1.95,-0.76,4.7,0.02
T4-13,0.49,0.8,2.29,2.41,0.88,0.59,0.41,1.01,0.75,1.76,0.48,0.43,-2.18,-0.35,2.73,15.38,0.8,-0.58,1.17,1.72,2.62,-4.0,-0.91,-16.62,6.68,1.06,0.39,0.93,0.05,-0.25,-0.23
T1-14,0.66,1.37,-0.46,4.21,0.98,1.26,0.35,1.34,-1.26,5.79,-0.82,2.25,0.73,-0.42,3.26,6.08,1.93,0.1,2.35,1.26,2.56,-2.33,-1.49,-6.02,7.5,3.39,0.35,-0.52,1.2,1.59,2.9
T2-14,1.27,3.09,2.04,3.0,1.9,4.13,0.99,2.44,-0.19,6.99,5.05,4.71,4.42,2.62,4.25,1.48,2.2,-1.36,1.24,2.27,2.48,2.38,3.9,-3.93,9.1,5.09,1.17,0.12,1.89,2.83,2.34
T3-14,0.17,2.61,1.62,5.58,-0.91,2.87,0.66,2.43,-0.76,5.54,2.52,3.85,5.16,2.85,3.64,1.04,2.43,-2.24,2.33,2.1,2.68,2.68,3.2,0.26,5.22,6.32,0.18,2.15,-0.46,0.98,1.19
T4-14,0.85,2.98,-2.44,0.71,1.47,3.47,0.74,2.76,-4.27,5.91,4.01,5.15,5.86,3.46,4.76,1.71,2.45,5.59,1.58,2.36,1.69,6.5,7.88,-0.46,8.73,8.94,0.65,-0.05,3.77,3.08,2.24
T1-15,0.49,2.8,3.47,4.68,-0.54,1.91,0.74,3.16,-3.46,1.13,0.53,3.92,4.72,2.94,4.45,6.21,1.85,2.39,4.95,2.69,3.4,3.65,9.54,-19.43,8.88,5.9,0.66,1.15,-1.5,1.73,0.03
T2-15,0.88,2.4,-2.41,0.11,0.73,0.74,1.08,3.26,-6.34,-0.69,1.34,2.58,4.45,0.44,3.97,7.46,3.3,6.79,3.86,2.14,2.87,4.81,8.11,-10.95,8.13,5.38,0.62,-0.39,3.03,2.12,1.84
T3-15,1.18,3.43,0.25,-1.24,1.71,3.4,0.83,3.43,-4.66,1.52,9.02,4.02,5.65,1.45,4.85,9.18,2.22,7.0,-0.52,2.91,0.33,8.53,11.07,-3.91,8.96,5.9,0.94,-0.37,3.06,1.75,1.68
T4-15,-0.29,2.26,2.47,3.73,-0.57,1.33,-0.32,2.35,-4.16,2.5,-0.8,3.3,1.41,-2.04,3.53,10.51,2.57,-0.53,-0.77,3.03,0.54,1.43,3.27,-8.39,2.57,2.99,0.77,0.16,-3.02,-2.97,-0.56
T1-16,-0.11,1.65,-1.72,-1.47,-0.45,1.42,0.47,2.08,-2.34,-1.03,5.42,1.31,2.84,-1.21,2.8,12.59,1.96,1.85,-2.89,2.42,-0.07,3.47,3.06,5.69,0.41,1.48,0.07,0.55,0.48,-0.42,-1.45
T2-16,0.45,1.22,2.39,3.37,-0.43,0.25,0.67,1.66,-2.09,0.78,2.02,0.36,2.34,-2.64,2.59,11.94,1.54,1.18,-0.28,1.53,1.28,0.05,-0.27,2.39,0.1,1.87,-0.25,0.95,-0.37,1.81,2.23
T3-16,0.87,0.91,3.63,6.86,0.01,-1.42,1.13,1.97,-4.91,-0.87,-4.17,0.14,0.64,-1.59,2.73,12.56,2.29,2.48,1.56,1.39,3.06,-3.37,-2.64,-7.53,2.46,1.58,0.8,1.38,-0.46,4.15,1.39
T4-16,1.12,2.34,-1.01,3.23,1.08,0.21,1.21,3.53,-5.44,-2.06,4.46,0.48,4.01,3.8,3.59,12.9,2.13,3.63,2.32,1.71,3.21,2.34,3.29,-3.16,7.88,3.21,1.09,0.31,2.7,2.17,1.03
T1-17,0.58,3.05,0.16,5.2,0.83,1.5,0.49,3.54,-8.33,5.68,-0.4,4.18,3.17,1.04,4.46,10.67,3.1,4.56,-0.09,2.07,1.43,-0.03,2.77,-15.46,9.66,8.13,0.43,-1.19,-1.84,1.22,3.25
T2-17,0.11,2.71,0.35,3.1,-0.62,1.31,0.39,3.25,-6.04,5.22,-1.63,3.69,1.52,4.88,4.63,10.12,1.8,2.92,-1.51,2.64,0.21,-0.83,2.52,-19.79,3.98,6.02,0.3,-0.27,-1.17,-3.46,0.23
T3-17,-0.6,1.21,0.97,0.45,-0.98,0.3,-0.29,1.8,-9.65,3.48,0.81,2.07,2.14,1.62,3.43,8.38,0.46,-5.01,-1.26,1.93,-0.75,0.63,2.91,-13.17,-1.55,4.95,0.1,0.41,1.01,-1.38,0.37
T4-17,1.4,1.49,2.61,4.13,0.97,0.19,1.58,2.18,-8.21,4.31,0.3,1.74,3.02,3.34,3.98,5.81,0.17,-4.79,-0.66,1.05,0.56,-1.6,-1.71,-0.89,2.4,5.54,0.22,1.64,0.42,6.26,1.6
T1-18,1.26,2.17,0.1,4.07,0.53,-0.11,1.48,3.18,-6.64,1.66,2.51,0.35,3.79,7.57,3.82,1.85,0.8,-2.48,3.98,2.09,3.76,2.28,3.12,-3.67,3.01,5.89,1.46,1.95,2.03,1.83,3.6
T2-18,-0.31,1.75,0.66,4.39,-0.48,0.02,-0.03,2.74,-7.09,0.93,2.3,0.75,3.78,3.02,3.0,2.32,1.57,-1.08,6.03,1.18,4.33,2.38,1.7,7.63,8.44,4.98,-0.59,0.27,-1.08,1.62,-0.63
T3-18,0.4,2.76,-2.96,0.33,0.24,1.26,0.64,3.7,-4.71,3.91,0.33,2.64,4.21,5.39,3.5,4.57,2.35,3.83,1.48,1.38,3.2,0.27,-0.4,4.9,10.5,5.36,0.3,-0.68,-1.08,0.49,0.73
T4-18,-0.18,1.16,3.36,1.07,-0.91,-0.62,-0.05,2.03,-7.37,0.91,-3.85,1.6,2.93,0.82,1.5,5.67,1.83,2.73,-1.09,1.18,1.03,-2.22,-0.99,-9.21,4.38,5.95,0.02,-0.5,-2.07,0.38,2.17
T1-19,0.02,-0.07,0.83,1.81,-0.34,-1.48,0.02,0.57,-8.73,-6.57,-2.67,0.7,-2.23,-0.95,1.29,7.67,1.34,-1.07,-3.03,0.17,-1.28,-3.72,-3.4,-6.34,2.64,0.1,0.45,-0.39,0.47,0.13,-2.13
T2-19,-0.28,-0.04,-1.35,-0.22,0.19,-0.82,-0.39,0.22,-8.77,-5.45,-2.25,1.59,-0.33,-0.44,0.39,5.07,1.27,-2.55,-5.7,0.76,-2.48,-4.6,-2.73,-17.63,3.41,0.09,-0.01,-0.94,-1.98,2.39,-0.64
T3-19,-0.01,-0.45,-1.1,1.69,-0.66,-1.71,0.47,0.05,-3.44,-5.58,-5.52,0.32,-2.05,-1.16,0.07,-0.72,1.48,1.81,-2.48,1.04,-2.28,-5.22,-3.36,-17.57,2.71,-0.21,0.57,-0.47,-1.73,-0.19,0.44
T4-19,-0.72,-0.99,-0.03,-1.65,-2.14,-2.94,-0.02,0.09,-0.24,-3.42,-5.54,-2.78,-2.72,-0.29,-1.11,-4.0,2.13,3.94,0.43,1.55,-0.97,-4.19,-1.98,-18.59,-3.59,-3.98,0.52,0.84,-1.0,-5.78,-1.7
T1-20,-1.2,-2.19,1.57,-0.93,-0.83,-3.41,-1.26,-1.19,5.48,2.54,-9.11,-3.89,-2.7,-1.2,-2.31,-5.15,1.61,2.03,0.75,-1.33,-0.7,-8.48,-8.82,-6.14,1.2,-4.27,-2.4,-0.12,-4.03,5.11,-2.42
T2-20,-18.91,-20.46,-1.54,-1.12,-21.67,-24.49,-17.83,-18.49,-4.74,-8.15,-35.96,-26.18,-21.29,-27.1,-37.73,-8.03,-3.05,-4.42,1.23,-20.76,-0.53,-32.45,-36.04,-2.77,-30.19,-27.62,-19.7,-0.77,-27.65,-29.37,-24.87
T3-20,15.52,-8.12,5.6,5.57,22.28,-7.05,12.31,-8.88,-1.38,-4.23,-17.33,-5.49,-8.11,-5.68,-20.7,-7.08,-0.57,-0.62,0.62,-11.3,-0.32,-17.69,-19.16,-6.31,-2.92,-15.29,12.58,-0.26,19.75,38.8,17.55
T4-20,4.33,-3.44,-4.06,1.32,4.39,-0.85,4.68,-4.61,-0.98,-7.39,-8.58,1.96,-1.77,-0.92,-12.15,-4.79,0.44,-1.98,-1.34,-6.69,-1.38,-10.45,-10.75,-8.12,3.85,-2.1,5.75,-0.23,7.71,0.79,13.61
T1-21,0.72,-1.57,1.72,1.47,-0.92,-0.94,1.39,-2.05,-3.53,-25.37,-5.06,3.07,3.68,-2.37,-9.25,-3.74,1.3,3.8,-2.31,-2.66,-1.36,-4.46,-3.47,-11.51,-4.22,3.2,1.81,-0.1,2.38,-3.07,2.86
T2-21,0.94,22.52,2.71,5.84,0.48,27.07,0.92,20.3,8.03,-18.48,38.89,33.56,24.63,35.56,50.46,2.1,7.61,13.5,-1.26,23.5,0.3,33.39,40.81,-6.91,37.99,38.57,1.88,0.89,1.01,1.76,0.87
T3-21,-0.88,5.13,-2.25,-2.02,-0.16,3.75,-1.3,5.72,3.24,-24.2,13.59,3.93,6.54,6.79,20.32,4.94,5.88,4.99,-2.12,10.45,-1.04,13.35,15.59,-1.21,0.2,20.43,0.69,-1.59,1.77,0.78,2.16
T4-21,1.17,1.95,1.18,3.33,1.35,0.73,0.84,1.84,3.04,-20.78,2.75,1.58,3.52,3.99,15.22,4.56,4.4,-0.09,-1.05,6.07,0.27,5.93,5.95,5.45,3.97,8.87,1.56,1.09,0.65,4.59,2.7
T1-22,1.39,2.63,-0.07,1.51,2.43,4.14,1.05,1.49,3.97,-0.86,5.08,4.4,4.33,6.2,15.33,6.85,3.68,-0.94,-0.56,5.74,1.46,7.28,8.15,0.56,10.65,7.3,1.49,1.08,3.68,3.17,1.38
T2-22,1.18,2.88,0.77,-0.4,0.85,4.53,1.25,1.82,4.41,1.81,3.53,5.03,7.12,7.51,12.63,5.33,2.52,-0.1,-0.51,4.8,1.51,7.82,8.11,5.37,11.82,9.73,0.97,0.95,1.52,2.83,3.16
T3-22,0.84,4.66,-2.06,-0.22,0.62,5.35,1.13,4.33,3.19,2.13,-0.39,7.23,8.27,6.53,12.21,4.85,2.15,3.32,1.99,4.55,3.41,5.44,5.56,4.73,13.56,10.65,0.45,0.25,-0.48,2.35,3.01
T4-22,1.17,4.66,6.37,4.9,0.91,4.89,1.04,4.55,4.86,-2.02,4.05,5.73,3.75,5.53,8.0,8.64,3.33,21.96,-0.68,4.25,1.69,9.04,8.04,16.59,2.66,6.62,1.27,-0.58,4.09,-5.45,-1.04
T1-23,0.51,3.75,-3.88,0.91,0.66,3.07,0.53,4.01,3.57,-1.58,4.1,3.08,1.68,7.53,5.99,8.44,3.25,6.74,0.04,3.5,2.0,10.79,10.01,17.41,-1.08,9.32,0.77,1.38,5.35,-0.59,3.94
T2-23,0.75,3.31,-0.18,-0.05,0.76,2.99,0.88,3.63,2.84,-5.04,8.09,2.21,2.59,5.13,3.34,9.15,2.97,9.97,-0.48,3.76,1.78,12.97,12.02,20.78,-6.55,5.77,1.22,0.73,3.53,-2.86,-0.18
T3-23,0.79,3.26,-2.3,-0.29,0.95,3.32,0.85,3.34,-0.55,-2.42,17.25,0.79,4.82,3.08,1.98,9.07,2.3,10.98,-0.39,4.8,2.19,16.57,14.59,32.25,-12.81,-0.1,1.46,0.65,2.69,-4.5,-2.71
T4-23,0.09,2.15,2.38,-4.03,0.07,2.47,0.08,2.36,-3.91,-0.51,19.06,-0.33,5.98,1.8,1.7,4.28,1.26,1.48,2.02,4.58,3.71,14.85,12.97,28.3,-7.75,0.15,1.06,0.89,2.55,0.03,-0.78
T1-24,0.21,1.84,-0.95,-1.1,-0.89,0.9,0.95,2.79,-3.89,-3.97,11.72,-0.83,5.74,2.01,3.8,3.09,1.07,18.7,0.55,4.7,3.53,9.88,4.3,54.63,-6.55,0.09,0.89,1.21,0.79,0.7,3.88
T2-24,-0.11,0.97,1.44,0.5,-0.75,-0.62,0.08,1.98,-9.1,-1.44,6.83,-1.18,1.6,1.34,4.07,2.79,0.76,14.02,3.3,3.16,3.98,5.01,0.43,40.3,-2.1,0.8,-0.27,1.17,-1.06,1.77,0.53
T3-24,1.18,1.36,3.15,6.1,1.28,-0.29,0.86,1.99,-6.75,-1.9,1.3,0.47,-1.85,4.02,4.27,1.62,1.14,11.89,2.57,2.16,4.13,2.95,-1.13,30.51,9.02,4.72,0.48,0.79,0.68,6.34,1.07
T4-24,-0.98,0.29,-6.18,-2.77,-2.08,-2.44,-0.07,1.83,-8.62,-2.2,-5.96,-0.05,-2.83,4.98,3.98,1.34,1.17,10.68,0.91,-0.34,3.09,-2.88,-5.39,12.99,12.64,5.18,-1.42,-0.11,-3.26,3.36,-0.35
T1-25,0.34,0.42,5.52,3.59,0.12,-1.45,0.19,1.06,-11.84,-0.12,-2.7,0.69,-6.0,3.84,0.96,2.0,1.54,9.91,2.16,-1.09,2.03,-7.46,-5.4,-18.78,13.01,-1.37,0.13,0.17,-3.96,1.03,-2.59
T2-25,0.51,1.04,0.21,2.34,0.25,-0.46,0.65,1.63,-8.23,-1.38,-1.03,1.16,-5.65,5.63,1.38,1.94,1.94,9.8,-0.1,0.66,1.2,-6.28,-4.11,-18.36,11.45,1.61,1.5,0.35,0.2,0.37,3.56
T3-25,0.07,-0.07,3.43,2.62,-0.92,-2.62,0.37,1.14,-5.04,-1.48,-4.28,-1.77,-3.79,4.32,0.51,1.99,1.57,8.52,-0.47,1.52,0.47,-7.71,-4.76,-22.78,4.0,4.05,1.33,0.06,-0.86,-0.77,3.5
T4-25,0.86,1.79,-1.45,7.79,0.89,0.34,0.92,2.14,-0.4,2.25,4.08,-0.67,-0.98,4.58,0.97,3.85,1.8,6.43,1.62,4.04,1.38,-3.9,-1.71,-15.31,1.74,9.71,1.03,0.8,0.74,1.11,5.07
T1-26,-0.77,0.2,-1.36,-0.08,-1.05,-1.14,-0.61,0.88,,,,,,,,,,,,,,,,,,,,,,,
