Periodo,Total,Minería,Energía_agua_gas,Construcción,Manufactureras,Alimentos_Anual,Bebidas_Anual,Textil_Anual,Cuero_Anual,Madera_Anual,Papel_Anual,Quimica_Anual,Plastico_Anual,Metales_Anual,Metalicos_Anual,Maquinaria_Anual,Computacion_Anual,Electrico_Anual,Transporte_Anual
jul-08,-1.87,-0.15,-0.79,-0.86,-2.3,1.91,-2.46,13.21,-7.61,-11.32,2.82,-1.84,-2.99,-1.41,-1.14,1.74,-1.37,-15.81,-10.14
ago-08,-0.02,-0.49,1.65,-4.15,0.49,1.59,1.96,4.56,-9.39,-2.41,4.48,0.59,-5.45,-5.27,-6.71,4.25,-5.95,-9.74,-6.43
sep-08,-0.82,-1.58,-2.08,-1.52,0.2,0.61,3.48,6.31,-9.99,-15.58,2.69,5.46,-7.57,-2.91,-4.12,-2.53,0.68,-9.38,-3.78
oct-08,0.15,2.63,0.38,1.97,-0.96,-0.84,3.1,13.62,-7.11,-15.25,-0.94,6.03,-6.6,-13.38,-2.74,-1.3,1.22,-6.78,-1.56
nov-08,-1.7,-0.02,0.18,-2.57,-2.37,0.47,5.78,19.79,-10.78,-7.68,-1.29,7.14,-7.58,-18.25,-5.01,-3.03,-0.14,-14.45,-8.52
dic-08,-1.13,-1.05,-1.77,-0.51,-1.47,-0.44,4.08,10.14,-11.89,-14.23,-2.89,1.36,-11.72,-19.49,-7.64,-11.63,2.13,-2.83,-15.04
ene-09,-5.22,-1.74,-0.21,-0.04,-7.88,-0.55,2.65,3.34,-14.58,-10.11,-3.56,-5.74,-19.49,-18.2,-11.49,-21.54,-15.22,-15.72,-44.11
feb-09,-0.43,-0.5,0.43,-3.31,-0.07,-0.78,-0.78,5.07,-16.92,-15.03,-3.3,-4.16,-17.67,-35.95,-8.92,-27.38,-17.43,-26.18,-37.85
mar-09,-0.91,-0.47,0.76,0.38,-1.21,1.67,-1.57,4.97,-13.71,-11.91,-2.56,-3.53,-14.57,-41.56,-9.48,-28.49,-22.24,-14.18,-38.48
abr-09,0.11,0.5,0.52,-0.86,0.57,-1.31,-0.64,4.36,-12.43,-10.41,-1.7,-2.0,-13.98,-31.47,-18.91,-29.6,-19.22,-12.3,-38.39
may-09,-0.31,-0.7,-0.48,2.83,-1.67,-2.79,-0.66,-2.49,-8.99,-15.39,-0.9,-4.8,-13.17,-30.07,-15.3,-36.02,-18.0,-15.44,-41.5
jun-09,-0.23,-1.75,0.24,-1.0,0.4,-0.5,-1.42,-1.03,-1.75,-8.6,-3.69,-4.7,-14.1,-24.22,-14.01,-32.24,-24.27,-9.83,-45.79
jul-09,2.29,1.64,1.42,-0.02,3.76,-0.92,1.72,-0.2,-7.71,-4.99,-3.43,-1.6,-10.11,-22.1,-14.2,-32.67,-19.62,-3.19,-25.93
ago-09,-0.05,-1.6,0.25,-1.07,0.18,-1.86,2.42,-0.27,-7.65,-3.34,-3.68,-2.47,-8.83,-21.57,-9.16,-34.77,-19.73,-9.41,-24.76
sep-09,1.43,1.48,0.38,1.12,1.95,0.57,3.71,3.7,-7.31,-2.23,1.21,-9.31,-1.91,-22.27,-7.74,-27.65,-18.77,-7.52,-18.61
oct-09,0.52,0.15,0.84,-3.28,1.92,0.88,3.84,-1.94,-6.56,-11.62,3.35,-2.25,1.04,-10.99,-8.58,-28.47,-18.88,-8.76,-12.42
nov-09,1.53,-0.61,-1.32,-0.43,2.87,2.91,1.34,-2.76,7.47,-6.93,4.16,-2.48,4.61,-0.69,-3.09,-20.78,-12.45,-8.51,5.4
dic-09,0.42,0.37,-0.51,1.1,0.51,1.73,-0.97,5.36,9.55,11.89,5.29,-2.46,6.84,6.04,-5.33,-6.12,-8.07,-4.59,17.75
ene-10,-0.2,1.57,-0.1,9.43,-3.87,0.35,-6.87,-0.91,11.35,-7.5,3.18,5.52,16.43,-2.57,-0.64,-2.46,-5.25,-4.61,67.3
feb-10,-0.43,0.82,-0.67,-7.54,2.14,1.42,-4.51,-5.86,10.37,-3.68,3.0,8.25,12.72,29.06,-1.66,13.72,3.73,-0.49,43.68
mar-10,1.17,-0.05,0.98,2.47,1.41,-0.27,-3.45,0.71,13.23,8.26,7.54,6.98,16.05,45.65,0.85,42.27,13.47,0.52,53.0
abr-10,1.09,1.03,-0.3,1.96,0.55,2.18,-3.07,0.61,10.74,10.39,6.02,4.6,16.49,29.43,7.77,32.24,5.78,-8.17,56.1
may-10,-0.57,-0.03,0.88,-6.09,0.91,4.66,3.55,9.4,12.27,4.79,6.11,3.13,18.92,23.79,8.7,43.27,9.51,3.88,70.66
jun-10,-0.01,-0.71,1.19,-0.16,-0.03,1.79,4.56,2.04,6.38,4.14,7.38,-0.34,18.61,12.93,9.83,35.93,11.04,-0.83,82.82
jul-10,-0.26,-1.07,4.23,1.21,-0.61,2.48,3.38,-3.06,6.54,7.81,2.99,-3.96,17.6,13.74,9.62,46.09,2.39,-4.06,42.97
ago-10,0.79,0.8,-4.34,-1.52,1.57,3.37,-1.02,4.04,7.87,-0.04,6.67,-1.77,16.52,16.82,10.47,58.38,6.44,-1.29,37.68
sep-10,-0.5,0.85,2.23,0.47,-1.13,1.3,-0.51,-1.96,8.41,-3.93,4.9,-0.4,11.53,10.89,13.26,46.02,-1.78,-4.82,27.51
oct-10,0.02,-2.21,-0.21,1.75,-0.16,1.98,-0.49,-0.66,3.0,16.55,2.31,-6.61,12.43,-1.32,5.79,48.39,-1.82,-2.47,22.61
nov-10,-0.2,-0.55,1.13,-1.31,0.28,0.2,1.49,-2.07,-1.31,12.47,0.31,-3.5,8.94,0.72,8.28,43.89,-6.79,-3.09,12.91
dic-10,0.95,0.66,1.24,1.4,1.06,2.06,3.83,-6.64,-5.71,5.42,2.33,-0.41,9.77,3.93,11.95,37.88,-3.29,-7.21,11.74
ene-11,0.17,0.37,-0.14,2.3,-0.64,2.04,9.07,-1.35,-1.1,9.46,5.08,-4.55,11.04,3.77,14.19,31.35,-0.69,3.65,15.06
feb-11,-0.24,-0.38,0.9,-2.59,0.81,3.63,6.14,-3.18,-0.81,14.55,2.92,-3.64,9.42,-1.91,13.04,12.82,-4.58,-2.5,18.69
mar-11,0.75,0.89,1.4,-0.95,1.08,1.86,8.11,-9.15,-5.65,1.18,-1.06,-6.39,8.52,-0.77,9.97,2.76,-9.25,-5.89,24.74
abr-11,-0.09,0.77,0.59,3.07,-1.31,1.68,7.74,-2.72,-0.2,-4.3,-1.54,-3.03,8.01,-1.49,6.33,7.16,-5.09,1.54,10.63
may-11,0.86,-0.32,-0.61,0.28,1.19,1.06,6.55,-8.32,-6.56,16.15,0.85,-0.11,6.59,-0.81,5.79,13.51,-12.1,-5.53,16.91
jun-11,0.97,0.66,1.04,5.56,-0.15,2.09,4.46,-9.7,-3.85,8.39,-0.87,0.51,5.52,0.77,3.82,11.5,-3.67,-3.9,10.63
jul-11,-0.25,-0.36,-0.67,-3.23,0.59,2.88,0.18,-4.23,-4.86,0.53,1.91,1.01,7.24,1.33,7.07,5.28,4.11,-3.69,12.66
ago-11,0.47,0.18,0.25,2.39,-0.05,3.67,2.47,-10.21,-1.07,3.82,-1.34,-2.1,5.43,-1.05,3.31,1.87,1.3,-3.76,8.08
sep-11,-0.17,-0.99,0.44,-2.26,0.63,4.48,2.98,-2.05,-1.51,15.59,-1.69,-0.85,8.36,4.78,2.38,6.28,4.38,-4.78,10.69
oct-11,1.34,2.27,-0.56,1.78,1.07,4.12,3.69,-1.2,0.75,-1.95,-0.53,-2.13,4.69,7.01,11.36,6.99,7.09,2.76,8.52
nov-11,0.87,-0.4,-0.31,3.5,0.6,2.61,0.32,-0.38,-1.16,-6.32,-1.32,0.36,7.71,6.7,4.91,3.3,13.84,4.98,8.91
dic-11,0.54,0.37,2.85,-0.64,0.79,2.99,-2.87,-2.33,3.05,2.5,-0.29,-2.69,8.72,4.91,6.17,-1.13,6.72,1.37,10.48
ene-12,0.09,-1.29,-2.39,-2.78,1.65,3.9,3.98,2.41,10.45,6.4,0.1,0.71,7.54,10.46,4.53,16.57,5.55,7.61,11.89
feb-12,0.04,0.65,1.13,0.02,-0.09,1.23,3.14,2.63,1.69,2.0,2.0,-2.42,12.14,10.53,1.63,20.84,8.9,4.23,17.08
mar-12,0.08,0.57,-0.64,-0.42,0.19,3.24,4.31,4.66,7.88,4.16,2.54,2.05,9.16,7.0,1.53,10.21,11.42,9.69,10.47
abr-12,0.54,-0.06,0.6,1.11,0.39,3.47,2.65,-3.46,-0.05,7.88,4.48,0.61,8.6,4.95,2.91,13.13,6.89,7.34,22.07
may-12,-0.44,0.46,0.1,0.45,-0.81,3.51,-1.56,-1.3,4.9,6.74,4.0,0.07,8.01,7.75,5.56,6.89,12.33,-2.35,7.84
jun-12,0.5,0.21,0.41,-1.7,1.11,3.07,1.38,4.06,4.51,11.65,6.13,2.72,15.83,7.64,4.01,0.28,4.23,0.65,15.88
jul-12,0.78,0.14,0.07,4.69,-0.19,1.78,3.62,1.83,6.02,2.59,6.94,0.66,6.41,2.25,3.22,3.47,4.17,-0.15,11.96
ago-12,-1.38,-0.33,-0.91,-3.13,-1.1,0.62,-0.83,6.77,-0.54,17.56,5.02,0.19,7.81,2.92,5.81,-4.83,4.68,-0.74,13.48
sep-12,1.3,-0.04,0.02,1.57,1.45,1.49,1.58,5.55,-0.19,21.42,5.44,2.78,7.24,2.4,1.76,-3.68,1.99,6.1,14.86
oct-12,-1.92,-0.62,0.84,-2.47,-2.14,0.12,-2.39,2.19,-0.86,40.59,6.66,1.22,5.63,0.1,-0.48,-6.68,0.7,-11.65,11.58
nov-12,0.86,1.74,0.62,0.54,0.84,3.13,3.19,2.12,-0.62,16.54,8.09,-0.88,4.5,-2.92,1.71,-6.43,-4.83,-10.65,12.79
dic-12,-0.54,-1.06,-1.16,-4.14,0.72,4.46,6.39,4.91,0.77,5.14,2.21,0.18,2.44,-1.57,-2.63,-7.36,1.3,-2.39,8.19
ene-13,0.12,1.77,2.06,3.39,-1.33,0.93,3.14,-5.22,-9.78,13.72,3.41,2.04,-0.31,-6.74,-9.38,-12.14,-2.62,-19.96,6.69
feb-13,0.74,-0.76,-0.52,1.64,0.79,1.87,4.34,-0.61,-2.31,9.32,4.2,0.26,-3.73,-4.54,-5.62,-13.0,-2.33,-14.41,6.56
mar-13,-1.02,-0.96,-2.09,-1.14,-0.87,1.25,-1.34,0.54,-7.6,-0.95,4.69,-0.24,-4.5,-0.04,-5.44,-14.19,-3.03,-20.78,5.81
abr-13,-0.97,-0.36,0.84,-5.67,-0.06,0.06,-1.28,2.08,-3.92,-0.39,2.84,-2.55,-4.15,0.19,-6.94,-10.67,0.86,-20.74,2.47
may-13,1.66,-0.35,2.09,6.63,1.08,1.33,-0.56,3.88,-3.4,-10.75,-1.24,-1.14,-4.17,-7.63,-8.37,-12.92,11.4,-12.22,8.43
jun-13,-1.02,-0.37,-0.87,-4.47,-0.34,0.79,-3.12,3.27,-1.64,-10.47,-1.41,-2.34,-9.79,-8.45,-6.42,-10.83,6.14,-18.07,5.48
jul-13,0.19,0.23,0.8,0.78,0.12,0.65,-0.87,7.35,-3.3,6.56,-0.44,1.52,-4.86,-1.94,-9.12,-12.39,2.2,-17.93,6.73
ago-13,0.96,0.12,0.07,1.56,1.04,2.26,5.79,3.35,-1.49,-3.06,2.17,3.83,-4.91,-2.14,-8.78,-5.15,0.98,-14.5,8.75
sep-13,-0.94,-0.16,-0.79,-0.58,-1.57,0.47,-2.08,-1.23,-1.32,-11.94,1.3,-0.76,-6.7,-3.72,-11.25,-8.72,7.55,-21.12,6.57
oct-13,1.05,1.11,0.33,1.4,1.3,2.23,3.85,3.45,0.65,-11.88,0.02,3.45,-5.95,1.99,-8.74,-7.34,8.34,-18.01,9.42
nov-13,-0.27,0.66,0.97,-0.52,-0.53,0.42,0.23,-0.57,0.28,5.23,1.92,-0.76,-4.14,1.5,-9.69,-9.25,6.34,-13.6,7.26
dic-13,0.29,0.36,-0.62,1.45,-0.42,-1.12,-2.33,5.53,-5.01,-9.12,4.83,0.6,-4.67,-2.09,-6.21,-9.52,4.28,-21.0,3.21
ene-14,0.13,-1.81,4.76,-2.94,1.63,1.4,-1.8,10.97,-3.36,-12.94,3.27,0.22,-0.13,12.4,3.52,-6.98,8.35,-18.18,8.47
feb-14,0.33,0.11,-0.77,4.22,-0.51,0.4,-2.81,4.54,-0.31,-9.55,3.45,-1.24,1.01,8.95,1.47,-3.89,6.37,-15.12,6.46
mar-14,1.52,-0.32,1.54,-0.37,2.33,1.09,1.76,5.86,2.46,4.01,3.66,-0.14,2.0,8.6,2.06,1.42,10.9,3.96,7.63
abr-14,0.58,0.61,0.82,1.44,0.46,2.73,5.17,1.36,4.25,-0.14,3.7,0.16,2.05,6.12,5.66,-4.92,9.79,3.88,11.95
may-14,0.1,-0.04,-0.75,-1.55,0.57,1.8,5.33,1.87,-0.57,6.38,6.69,-0.62,5.21,15.05,2.64,-1.84,3.11,0.2,13.6
jun-14,0.26,-1.16,-0.04,1.79,0.11,2.31,5.81,3.56,2.79,1.87,7.0,-0.26,3.49,14.92,3.27,3.6,10.61,1.59,10.45
jul-14,-0.62,0.03,-0.89,-4.39,0.54,1.99,4.46,-1.27,7.42,0.04,5.89,-2.32,2.96,8.74,7.05,4.61,12.4,1.07,10.1
ago-14,-0.47,-0.06,0.98,2.21,-1.6,-0.33,2.15,0.13,6.22,-4.01,3.61,-4.65,3.06,3.22,4.09,-0.08,15.88,-5.3,7.27
sep-14,0.66,-0.44,0.15,1.19,0.65,0.97,4.86,1.19,7.46,-4.23,6.03,-2.56,4.92,9.49,13.96,2.76,11.46,-0.65,6.84
oct-14,0.9,-1.26,0.03,3.14,1.18,-1.02,1.37,-0.97,3.48,-4.15,7.5,-3.86,7.99,11.05,8.81,2.86,14.34,7.31,12.02
nov-14,-0.18,-0.08,-0.61,-2.35,0.45,0.4,0.62,2.66,4.13,-8.19,7.27,3.21,6.55,11.31,12.22,7.15,18.17,-1.32,10.71
dic-14,-0.2,-0.76,1.57,1.18,-0.55,0.98,6.63,-4.62,8.74,0.67,6.79,0.17,7.16,20.12,10.46,4.98,14.77,0.41,13.7
ene-15,-0.38,-1.14,-0.15,-1.51,0.11,1.94,1.92,-4.41,5.72,12.37,6.1,-4.58,4.81,-3.08,8.14,4.58,17.24,11.43,8.15
feb-15,0.67,2.91,-1.0,-2.55,1.44,4.21,2.7,-0.81,4.26,6.55,5.04,0.67,6.98,-1.1,7.23,2.15,19.8,7.28,11.67
mar-15,-0.57,-2.77,0.29,0.63,-0.84,1.89,0.81,-1.24,5.36,4.81,3.74,-2.61,5.78,-6.46,10.51,1.82,12.72,-9.34,9.25
abr-15,1.19,-2.13,0.4,6.06,1.14,1.65,-0.31,7.08,1.18,4.52,5.21,-0.55,5.95,-0.72,11.17,-0.77,8.36,-7.88,11.11
may-15,-0.93,-0.47,-1.82,-3.89,-0.49,2.37,2.97,4.03,4.79,-0.81,4.22,-2.13,1.98,-2.81,7.62,-0.36,13.04,-5.5,5.42
jun-15,0.47,1.06,0.02,0.51,0.46,2.39,-1.84,-1.98,2.92,2.14,4.49,-1.84,5.36,-1.51,2.71,0.66,8.87,-2.55,7.46
jul-15,1.15,0.08,1.17,6.24,0.06,2.2,4.64,8.32,-3.5,-0.62,3.56,-1.73,5.39,2.12,5.07,-0.5,11.62,-1.7,2.11
ago-15,0.33,0.58,1.6,-1.8,0.75,1.84,3.61,4.9,0.71,2.62,6.35,1.67,7.74,5.15,4.71,1.41,10.44,2.18,8.08
sep-15,2.07,-0.52,0.5,4.31,1.54,3.32,9.46,6.75,-2.96,6.54,5.41,0.09,7.59,2.84,0.87,0.09,12.49,19.28,9.57
oct-15,-2.07,-0.27,0.85,-8.5,-0.15,4.85,7.97,7.35,-0.6,-3.34,3.95,1.59,6.05,-2.35,5.99,4.54,9.99,-0.54,4.03
nov-15,-0.73,-1.04,-0.06,0.5,-1.06,1.55,10.75,4.89,0.57,16.85,3.87,-5.09,5.18,-5.98,-1.57,-1.5,9.43,0.37,6.17
dic-15,0.46,-0.18,-0.58,1.04,0.68,0.74,6.72,7.47,-2.63,6.44,5.24,-1.13,6.11,-9.61,1.49,-2.66,12.07,1.95,9.55
ene-16,-0.07,0.46,-3.61,1.42,-0.62,0.77,8.12,6.41,0.68,-5.25,4.57,0.14,6.74,0.23,1.19,-1.86,7.79,-3.28,7.09
feb-16,0.14,0.84,1.31,0.19,-0.02,0.79,8.83,7.56,-0.21,0.99,5.44,-1.0,8.84,1.59,2.25,1.05,3.04,-4.25,-0.45
mar-16,-0.76,-1.2,-0.5,0.71,-0.99,2.41,9.4,3.4,-2.87,-4.35,6.78,-1.03,6.64,2.27,-3.57,-0.8,2.69,-1.72,-0.82
abr-16,-0.11,-1.33,-0.2,-0.64,0.1,2.78,6.36,-2.26,-2.5,-2.32,4.56,-1.51,1.88,-2.8,-9.64,8.34,6.55,-2.47,-5.47
may-16,0.29,-0.21,1.59,1.15,0.11,2.76,6.48,0.51,-1.38,1.1,5.89,1.69,7.15,-3.66,-1.16,3.68,-1.29,2.69,-2.05
jun-16,-0.24,-0.97,-0.04,-1.01,0.36,1.58,9.22,2.54,-5.95,3.96,4.11,-1.37,4.1,-1.49,3.66,0.85,0.93,-1.24,-0.41
jul-16,-0.03,0.02,0.64,-1.18,0.05,2.73,3.95,-5.92,-5.01,0.09,5.9,2.39,5.91,-5.72,-1.69,-10.67,3.53,-2.07,4.88
ago-16,0.11,-1.41,-1.2,0.49,0.62,3.63,6.7,-3.95,-5.92,-2.32,2.9,-1.65,4.44,-2.11,-0.02,-1.46,2.43,-0.61,3.51
sep-16,0.37,-0.1,-0.73,0.85,-0.18,1.47,3.19,-2.19,-6.05,0.45,1.89,-0.89,2.11,-5.54,-1.03,-1.95,1.88,-14.49,1.59
oct-16,-0.04,0.33,1.0,0.34,0.21,1.84,6.57,-3.63,-5.95,-4.49,2.59,-1.73,2.29,-2.76,-3.92,-3.2,-2.26,3.16,3.12
nov-16,1.12,-1.82,-0.19,3.95,0.85,4.82,1.46,-2.31,-6.0,-4.9,1.95,-1.1,4.24,10.11,4.05,0.28,1.38,6.75,2.54
dic-16,-0.28,-0.58,1.01,-4.21,1.11,5.27,4.74,-2.79,-4.86,5.68,3.58,-1.77,3.08,2.07,6.14,10.62,1.44,6.62,2.64
ene-17,0.69,-0.75,3.75,-0.36,0.95,5.02,5.96,3.49,-0.73,-3.0,5.85,-0.21,3.38,7.24,-0.96,5.41,2.42,9.35,5.97
feb-17,-0.44,-1.15,-1.31,0.06,-0.35,2.03,4.25,0.05,-5.34,7.28,4.04,2.47,-1.22,2.85,-1.77,1.24,4.94,8.15,10.13
mar-17,0.7,0.24,2.87,1.23,0.35,2.55,0.96,0.23,-6.28,8.36,1.93,0.57,0.62,2.47,0.93,3.56,9.76,5.73,13.72
abr-17,-1.09,0.25,-2.72,-4.97,0.06,1.45,6.86,0.33,-4.25,6.76,4.82,1.63,6.42,2.01,2.96,-0.31,7.82,7.28,14.28
may-17,0.04,0.24,2.06,1.83,-0.59,0.51,0.75,2.29,-5.89,-0.5,2.25,-2.97,1.37,3.7,-2.38,5.6,8.76,4.07,13.76
jun-17,0.07,-0.97,-0.02,2.45,-0.38,1.63,6.59,-0.18,-3.76,2.04,5.92,0.78,1.8,4.71,-5.97,2.56,8.47,6.76,9.4
jul-17,-0.76,-1.56,-2.35,-2.11,0.0,1.6,4.62,1.62,-0.12,6.7,7.09,-4.31,1.59,6.03,-5.41,20.14,-0.3,7.55,10.63
ago-17,0.59,-2.32,0.16,2.68,0.6,2.92,1.96,1.37,-4.52,2.91,5.43,2.22,0.63,3.97,-3.75,7.02,2.1,5.69,9.87
sep-17,-0.98,-6.78,0.93,2.36,-1.59,2.64,0.96,-4.68,-1.56,1.76,4.87,-5.89,1.41,-0.66,-5.25,11.94,-0.06,6.17,8.48
oct-17,1.11,5.79,-3.14,-1.08,1.73,3.5,1.49,-2.3,-1.45,1.27,5.93,-2.87,3.07,0.32,-4.86,5.54,5.16,2.59,12.26
nov-17,0.22,-0.03,7.75,-2.55,0.34,2.5,7.31,0.7,-2.92,-3.92,4.16,0.61,0.15,-6.02,-9.7,11.49,1.36,-0.58,9.91
dic-17,0.67,-0.06,-3.86,4.88,-0.04,2.15,3.47,1.55,0.12,-1.42,2.0,0.43,0.74,0.38,-11.6,3.34,1.13,0.26,6.83
ene-18,-0.87,1.13,2.21,-2.61,-0.77,1.66,2.25,-4.4,-7.74,9.29,0.1,2.21,0.63,-10.4,-5.92,5.02,0.31,-1.22,3.65
feb-18,0.42,-2.39,0.82,2.49,0.1,2.56,2.2,-3.3,-3.19,-6.4,1.23,-2.98,0.92,-9.49,-4.99,7.15,-0.75,0.49,7.36
mar-18,0.08,-0.15,-3.01,-2.21,1.61,3.2,8.95,2.13,1.99,-2.64,3.94,1.94,4.68,-1.75,-4.12,4.62,-4.28,4.8,5.78
abr-18,-1.39,0.48,3.52,-3.05,-2.06,2.88,3.79,3.03,-1.28,-3.27,1.48,-1.52,0.59,-1.29,-4.92,4.39,-1.9,2.76,-6.13
may-18,1.73,0.01,-4.24,3.62,2.18,3.82,8.0,-1.83,1.85,0.9,5.37,1.61,2.48,-2.68,-1.13,1.53,-0.91,1.1,5.4
jun-18,-0.18,-2.23,2.82,-0.88,0.11,3.98,3.4,4.98,2.46,-4.33,2.38,-0.34,3.69,-7.36,2.73,7.5,-0.35,2.19,7.51
jul-18,0.31,-1.44,2.17,2.07,0.08,3.38,4.45,0.11,-0.02,-3.43,1.22,-0.66,2.11,-10.06,2.74,-3.97,4.61,1.31,7.17
ago-18,-0.79,0.05,-1.81,-5.07,0.54,3.04,4.99,3.69,3.31,1.85,2.61,-4.97,2.64,-7.25,-1.16,5.73,2.16,3.82,6.05
sep-18,1.09,-0.29,0.08,3.66,0.46,3.74,3.7,7.18,1.37,0.51,3.11,6.03,5.66,-4.81,-0.22,1.84,2.59,1.72,8.58
oct-18,-0.9,-1.36,-1.72,-0.05,-0.95,1.34,0.73,3.73,-0.97,3.41,1.9,1.15,1.56,-9.1,-1.4,3.68,3.78,0.04,3.56
nov-18,-1.0,-1.81,3.08,-8.74,0.6,0.68,0.27,2.42,-0.06,-3.51,2.32,-1.18,4.47,-8.63,2.18,1.76,4.0,2.84,6.0
dic-18,-0.24,-0.32,-4.4,6.85,-1.19,1.44,0.83,-0.23,-3.31,-4.2,3.62,-3.72,2.71,-8.4,-3.21,0.19,-3.25,-1.76,7.18
ene-19,0.14,-2.78,-3.61,3.0,0.07,1.85,2.6,3.67,-2.84,0.71,5.48,-6.22,1.15,-1.63,-1.43,6.58,2.31,1.54,6.93
feb-19,0.48,1.62,0.07,-2.14,0.75,3.5,6.54,2.34,-2.17,3.92,4.0,-3.92,2.28,-0.82,-3.28,4.82,5.07,1.68,2.76
mar-19,-1.25,0.31,-1.43,-1.61,-0.97,0.65,2.73,-2.51,-5.83,-2.19,-1.35,-6.81,-1.23,-2.92,-7.95,-2.89,16.21,-4.6,0.1
abr-19,1.03,-0.79,1.75,2.11,1.28,2.2,2.6,-0.06,-0.09,-3.4,1.8,-2.08,1.22,-2.73,-1.25,-1.96,9.06,-4.56,15.87
may-19,-0.89,-1.88,-0.77,-4.34,-0.2,4.26,1.61,-3.95,-3.3,-0.3,-1.01,-2.63,-2.22,-2.87,-5.4,-0.39,8.86,-4.93,3.68
jun-19,0.98,2.82,1.54,2.61,0.24,2.3,5.76,-0.51,-3.09,0.91,-1.98,-2.76,0.31,-10.13,-7.47,-6.01,7.88,0.09,3.95
jul-19,-0.6,-0.02,-0.96,-2.38,0.03,1.86,3.52,-1.46,-4.04,-1.99,-3.48,2.17,0.09,2.79,-7.2,-2.27,4.72,-4.23,1.85
ago-19,-0.17,1.68,2.04,-0.59,-0.36,1.74,0.84,-5.99,-3.01,-0.68,-1.29,-0.13,-0.74,1.79,-6.01,-3.44,4.08,-6.45,-0.75
sep-19,-0.08,-0.3,0.46,-2.39,0.31,1.55,5.22,-6.83,-3.12,-2.01,-1.16,-2.96,-3.02,0.97,-4.91,-5.98,3.64,-7.56,0.58
oct-19,-2.07,-1.16,-0.84,-1.93,-2.58,2.68,5.08,-5.71,-4.17,0.36,-2.48,-2.61,-5.12,0.56,-3.53,-8.11,-0.83,0.1,-7.74
nov-19,0.41,2.17,1.8,1.07,-0.52,2.78,-0.2,-3.63,-6.07,-1.71,-1.42,-0.91,-5.51,-2.58,-7.29,-13.68,-7.66,-5.34,-5.68
dic-19,-0.8,-0.35,-2.13,1.19,-1.0,0.74,3.18,-3.89,-3.97,-1.58,-5.07,-2.22,-4.77,-0.36,-1.38,-13.36,4.79,-4.39,-11.62
ene-20,1.24,2.02,-0.01,-0.92,1.69,1.74,-0.04,-7.91,-2.46,-3.98,-1.04,-2.88,-4.63,2.04,-7.64,-16.2,4.35,-3.19,-3.17
feb-20,-0.59,-1.01,2.54,-3.14,-0.33,0.99,-5.33,-4.28,-1.89,-5.34,-3.37,-2.49,0.32,-1.3,-7.99,-9.96,-1.58,-3.03,0.33
mar-20,-3.35,-0.29,-3.47,0.25,-4.24,4.15,-4.41,-11.86,-4.6,-7.48,0.63,5.72,-4.46,-6.31,-4.27,-7.78,-12.01,-0.37,-17.32
abr-20,-25.26,-7.23,-0.67,-35.4,-27.79,1.11,-32.08,-52.29,-51.29,-4.4,-4.51,-4.08,-29.64,-16.98,-25.89,-26.23,-31.55,-16.62,-83.97
may-20,-0.2,-4.32,-11.7,1.65,0.79,-1.46,-30.9,-44.03,-50.95,-10.08,-9.66,-10.45,-30.3,-19.02,-28.33,-31.94,-31.91,-17.03,-76.73
jun-20,21.66,5.52,1.78,22.99,27.18,-0.4,-14.66,-37.41,-33.77,-5.91,-7.77,-9.02,-16.95,-7.7,-15.4,-22.63,-13.17,-11.38,-25.98
jul-20,4.45,2.57,4.88,0.39,6.0,0.01,-2.55,-25.29,-19.43,-2.01,-3.34,-6.66,-5.92,-14.05,-4.73,-23.83,-11.68,2.54,-11.51
ago-20,3.79,1.34,7.4,11.29,2.8,-0.59,1.61,-18.18,-14.67,-1.68,-4.03,-0.55,-0.65,-12.21,3.25,-15.53,-10.54,4.31,-9.5
sep-20,2.44,0.02,-3.7,-1.59,4.21,-0.03,-1.94,-17.53,-12.1,-1.52,-1.63,-1.07,-0.07,0.25,-0.77,-12.24,-5.68,14.86,-4.79
oct-20,1.32,0.81,-0.55,4.66,0.53,0.34,0.01,-16.99,-7.21,2.62,-0.52,0.17,8.11,5.95,1.24,-3.72,-6.8,8.76,4.31
nov-20,0.4,-0.39,-2.57,3.42,0.06,0.58,4.38,-17.91,-4.24,5.79,-0.43,1.22,5.51,7.51,3.04,1.25,3.92,14.38,0.73
dic-20,-0.49,-0.24,-1.0,-2.82,0.65,2.58,-1.98,-15.08,-7.07,5.92,2.17,3.12,8.92,5.69,1.53,2.87,-0.24,19.49,4.47
ene-21,-0.8,-0.96,-17.52,0.6,-0.5,1.81,1.73,-14.46,-6.8,1.94,-2.67,5.42,11.15,-1.04,8.84,2.09,-0.41,13.89,-5.49
feb-21,-1.06,2.19,-3.53,3.87,-2.87,0.83,-1.63,-14.76,-7.5,2.92,-1.95,-2.06,5.87,2.44,9.74,-1.27,0.48,12.29,-14.08
mar-21,2.26,0.13,3.63,-1.15,4.14,-0.05,2.54,-2.23,-3.0,13.03,-0.03,-5.71,12.0,6.05,11.12,10.83,5.91,17.93,16.09
abr-21,-0.16,0.02,-1.76,2.07,-0.6,2.5,45.51,76.91,77.1,12.37,7.67,1.54,51.35,22.4,38.19,31.63,43.96,45.59,467.29
may-21,-0.53,0.85,-0.66,-0.3,-0.88,2.47,43.85,64.58,79.43,20.75,15.95,8.36,56.68,25.47,44.41,43.2,41.35,43.78,272.75
