Periodo,Total,Minería,Energía_agua_gas,Construcción,Manufactureras,Alimentos_Anual,Bebidas_Anual,Textil_Anual,Cuero_Anual,Madera_Anual,Papel_Anual,Quimica_Anual,Plastico_Anual,Metales_Anual,Metalicos_Anual,Maquinaria_Anual,Computacion_Anual,Electrico_Anual,Transporte_Anual
dic-98,0.87,0.79,2.54,5.41,-0.13,3.76,7.81,1.17,-0.75,11.24,6.05,5.63,17.07,-3.78,2.85,-3.41,4.73,12.67,7.83
ene-99,-0.07,-1.18,5.03,3.55,-0.98,3.06,2.72,10.58,-4.78,2.22,6.02,2.49,2.34,0.67,2.62,-0.59,-11.8,8.58,7.42
feb-99,0.23,-1.75,0.96,-0.8,0.83,3.91,5.76,1.01,0.02,7.97,7.96,-1.53,-1.46,2.13,5.48,-18.53,1.47,7.05,2.35
mar-99,0.16,0.87,1.38,1.39,-0.13,6.23,4.01,-2.79,0.69,6.83,7.9,0.46,-10.39,-8.6,4.44,-11.48,8.79,9.6,-5.18
abr-99,0.89,-1.82,1.28,-3.69,2.74,3.68,1.75,15.0,5.58,-1.73,7.86,1.57,0.97,-5.67,9.04,-8.16,9.68,-1.81,4.08
may-99,-0.86,0.25,0.24,0.8,-1.25,2.36,1.8,6.17,6.08,-0.98,12.93,-3.25,-4.87,-5.85,8.63,-10.25,2.11,14.34,3.82
jun-99,-0.45,-2.91,0.35,1.47,-0.32,3.45,2.99,5.61,-2.01,-0.68,8.74,2.49,-0.31,-5.38,5.46,-15.68,-1.15,9.15,10.0
jul-99,0.21,2.11,1.39,-2.57,1.18,3.02,-1.55,4.28,0.61,-2.44,3.43,2.96,-1.67,-4.56,3.61,-15.2,2.91,5.14,19.84
ago-99,0.27,-0.9,-0.67,-0.72,0.16,3.39,4.11,7.11,2.52,1.05,4.59,-2.09,1.4,-6.13,-4.12,0.14,2.26,4.39,10.97
sep-99,1.15,0.22,1.42,0.75,1.4,3.08,6.29,7.53,2.26,-0.31,3.41,0.41,-8.97,-3.77,0.24,-18.81,30.82,0.56,12.8
oct-99,-0.67,1.05,0.38,0.01,-1.96,2.15,9.74,-2.17,-1.37,-0.61,3.66,0.54,-9.57,-1.74,2.75,-9.91,-2.92,11.44,5.04
nov-99,0.83,1.32,1.09,2.06,0.64,2.09,7.84,2.19,-7.11,-7.95,6.44,-3.16,0.94,12.26,1.7,-12.4,-4.63,6.6,13.83
dic-99,0.69,-1.77,-0.02,1.38,1.91,3.96,7.8,7.39,5.73,-10.4,9.84,2.02,4.88,8.1,6.63,-12.11,-2.45,17.36,16.28
ene-00,1.51,3.11,-2.88,0.07,1.33,5.85,6.51,11.39,5.63,4.03,6.34,-0.37,12.95,0.17,6.65,-23.37,10.54,14.43,25.63
feb-00,1.44,-2.3,1.49,2.02,1.92,4.69,5.3,18.01,-5.24,-0.34,7.15,4.74,8.09,5.68,6.87,-14.57,18.3,11.0,22.54
mar-00,0.58,2.07,1.3,-2.12,1.37,2.28,2.28,12.63,0.28,-1.61,6.48,0.8,2.81,8.53,5.49,-10.36,19.25,22.37,28.76
abr-00,-0.58,2.49,-0.9,-0.82,-1.73,1.59,2.49,1.46,-8.61,4.12,5.2,-1.7,-2.11,13.55,1.8,-3.66,1.32,11.14,22.98
may-00,0.73,-0.66,-0.01,2.35,1.17,2.52,4.74,11.65,-5.61,2.11,2.23,1.07,6.14,13.98,3.24,-1.28,17.6,10.72,15.92
jun-00,0.9,1.14,-0.58,-1.74,1.59,3.37,-3.19,9.21,6.18,4.04,1.54,0.43,4.12,5.22,5.54,5.66,31.36,14.22,19.44
jul-00,0.85,-6.75,-1.86,-1.77,5.23,3.36,5.6,0.01,-2.94,-2.6,3.39,1.25,7.46,2.72,4.93,16.14,67.44,13.07,21.02
ago-00,-1.14,8.17,-0.11,0.96,-5.29,2.14,5.31,3.49,0.77,-1.42,2.36,2.23,12.36,5.78,8.13,0.68,38.67,9.24,13.59
sep-00,-0.48,0.45,-0.3,-2.5,-0.45,2.44,3.66,2.03,-11.57,1.72,4.78,3.63,14.18,6.2,8.94,21.29,11.99,1.41,12.96
oct-00,-0.18,-5.49,-1.2,0.31,0.88,4.91,-3.75,8.73,-11.35,8.76,2.58,2.95,13.01,4.45,6.77,15.67,29.56,5.12,24.07
nov-00,-1.05,1.43,-1.92,-1.92,-1.12,4.11,-0.86,-1.84,-7.49,3.55,0.11,-1.48,1.3,-3.95,12.52,17.16,30.4,11.27,12.29
dic-00,-2.47,0.54,-1.44,-2.19,-3.05,0.98,-0.8,-1.98,-16.59,3.13,-4.0,-3.12,-7.6,-0.67,3.39,4.37,14.37,1.05,6.69
ene-01,3.32,1.48,-2.31,-0.57,4.94,0.5,-0.72,1.95,-11.32,0.3,-1.2,-1.49,-5.84,2.6,-3.94,16.37,31.18,5.58,2.1
feb-01,-0.76,2.79,-1.01,-2.2,-0.79,1.36,0.47,-1.69,-13.51,-2.95,-2.42,-5.07,-9.61,-7.79,-4.09,23.89,15.37,3.72,0.66
mar-01,-1.25,-0.73,-1.27,1.21,-2.65,1.31,3.63,-0.27,-15.89,-11.94,-3.03,-2.87,-6.32,-0.47,-7.04,-2.55,2.72,-9.76,-1.72
abr-01,-0.89,-2.83,0.33,-6.13,0.41,3.64,-0.95,-1.28,-11.21,-12.8,-2.26,-4.22,-8.92,-7.14,-5.56,-0.62,15.96,-2.0,-1.95
