Periodo,Tasa_participacion_Total,Tasa_participacion_Hombres,Tasa_participacion_Mujeres,Tasa_subocupacion,Tasa_desocupacion_Total,Tasa_desocupacion_Hombres,Tasa_desocupacion_Mujeres,Tasa_informalidad,Tasa_ocupacion_Total,Tasa_ocupacion_parcial_Total,Tasa_participacion_urbana,Tasa_desocupacion_urbana,Tasa_subocupacion_urbana,Tasa_informalidad_urbana
feb-12,59.94,78.8,43.19,8.49,5.42,5.69,4.96,59.69,94.58,11.36,62.05,6.26,7.35,48.93
mar-12,60.37,78.68,43.87,8.54,5.12,5.19,4.93,59.05,94.88,10.78,62.02,5.91,6.78,47.46
abr-12,60.35,78.96,43.62,8.25,4.89,4.83,4.96,59.35,95.11,11.62,61.52,5.73,6.83,47.63
may-12,60.67,78.89,44.37,8.73,4.88,4.84,4.93,59.77,95.12,11.72,62.38,6.02,7.56,48.63
jun-12,61.07,79.32,44.78,9.67,4.85,4.89,4.88,59.69,95.15,11.62,62.56,5.63,7.65,48.94
jul-12,60.69,79.23,44.01,8.6,4.72,4.72,4.7,59.85,95.28,11.19,62.34,5.54,7.39,48.56
ago-12,61.16,79.36,44.85,8.09,4.94,4.96,4.85,59.39,95.06,11.6,62.31,5.85,6.06,48.23
sep-12,60.65,78.51,44.29,8.68,4.67,4.45,4.91,59.32,95.33,11.83,62.25,5.5,6.22,48.21
oct-12,60.19,78.47,43.97,8.31,4.84,4.78,4.98,59.93,95.16,11.46,61.78,5.7,7.5,48.11
nov-12,60.11,77.84,44.15,7.92,5.21,5.15,5.38,59.72,94.79,11.39,62.14,6.0,6.51,48.74
dic-12,59.73,77.93,43.23,8.33,4.98,4.96,5.0,58.84,95.02,10.52,61.79,6.04,7.16,47.96
ene-13,59.76,77.92,43.32,8.47,5.16,5.15,5.24,58.94,94.84,11.29,61.11,6.22,6.81,48.16
feb-13,60.24,78.23,44.06,8.24,4.96,4.81,5.17,59.4,95.04,10.72,61.57,5.76,6.32,47.67
mar-13,59.58,78.12,42.89,8.07,5.05,4.93,5.16,57.83,94.95,10.28,61.65,5.82,7.14,47.67
abr-13,60.21,78.29,43.93,8.26,5.12,5.19,4.97,59.24,94.88,11.33,61.92,6.34,6.79,48.28
may-13,60.6,78.46,44.54,8.39,4.96,5.02,4.86,59.32,95.04,11.85,61.86,5.47,6.87,47.23
jun-13,60.53,79.16,43.97,8.42,5.07,4.91,5.43,57.89,94.93,11.26,62.2,5.78,7.18,47.73
jul-13,60.54,78.73,44.16,8.35,4.9,4.85,4.93,59.06,95.1,11.15,61.84,5.6,6.81,48.38
ago-13,60.18,78.37,43.91,8.68,4.82,4.83,4.78,59.13,95.18,11.43,61.53,5.49,7.16,48.16
sep-13,60.3,78.3,43.96,8.14,4.98,4.88,5.07,57.59,95.02,12.02,61.19,5.73,7.24,47.38
oct-13,60.69,78.85,44.27,8.48,4.88,4.92,4.87,58.44,95.12,11.66,62.13,5.52,6.95,48.4
nov-13,60.66,78.97,44.15,8.51,4.61,4.65,4.63,58.13,95.39,11.18,62.09,5.1,6.86,47.63
dic-13,61.33,79.34,45.02,8.21,4.79,4.62,5.05,58.79,95.21,10.65,62.27,5.91,6.32,48.26
ene-14,60.69,78.81,44.17,8.2,4.91,4.85,5.04,58.22,95.09,11.2,61.85,6.43,6.9,47.38
feb-14,59.78,78.67,42.82,8.31,4.82,4.77,4.89,57.24,95.18,10.9,61.2,5.77,7.05,46.7
mar-14,60.53,78.46,44.44,8.69,5.29,5.05,5.56,58.4,94.71,11.21,61.46,6.14,6.98,47.7
abr-14,60.2,78.19,43.81,8.18,4.92,5.1,4.58,57.89,95.08,11.38,61.79,6.33,7.08,47.53
may-14,59.78,78.4,42.87,7.99,4.94,4.86,5.1,57.14,95.06,11.29,60.63,5.77,6.12,46.7
jun-14,59.42,77.99,42.73,7.75,4.83,4.91,4.8,57.63,95.17,11.12,60.27,5.89,5.61,46.82
jul-14,59.86,77.93,43.44,8.1,5.22,5.31,4.98,57.75,94.78,11.81,60.87,6.46,6.65,47.36
ago-14,59.29,78.05,42.48,7.55,4.84,4.79,4.92,57.16,95.16,10.93,60.66,5.82,6.49,46.66
sep-14,60.17,78.86,42.98,8.09,4.78,4.84,4.68,57.94,95.22,11.23,61.1,5.58,6.36,47.21
oct-14,59.1,77.42,42.55,8.07,4.65,4.62,4.71,57.41,95.35,11.04,60.31,5.72,7.14,46.74
nov-14,59.48,78.21,42.46,8.0,4.66,4.65,4.82,56.84,95.34,10.28,60.31,5.29,6.46,46.52
dic-14,60.03,78.47,43.36,8.31,4.17,4.09,4.3,58.43,95.83,9.83,60.75,4.93,6.41,47.57
ene-15,59.65,78.08,43.08,8.18,4.39,4.4,4.38,57.21,95.61,10.39,60.66,5.2,7.45,46.75
feb-15,59.66,78.02,42.98,8.3,4.45,4.45,4.39,57.57,95.55,10.67,61.03,5.36,7.19,47.52
mar-15,59.63,78.1,42.97,7.96,4.28,4.12,4.45,58.11,95.72,9.78,60.97,5.05,6.88,47.68
abr-15,59.61,78.12,42.85,8.43,4.35,4.21,4.58,57.8,95.65,10.58,60.71,5.04,6.87,47.12
may-15,59.52,77.82,42.9,7.41,4.39,4.27,4.56,57.61,95.61,10.72,60.89,5.33,7.16,47.93
jun-15,59.83,77.81,43.55,8.52,4.41,4.13,4.91,58.22,95.59,10.66,61.6,5.08,7.39,48.09
jul-15,59.44,77.69,43.01,8.24,4.49,4.29,4.72,57.73,95.51,10.79,60.8,5.17,7.4,46.86
ago-15,60.04,78.33,43.7,8.2,4.39,4.33,4.46,57.39,95.61,10.29,61.59,5.01,7.21,47.13
sep-15,59.75,77.56,43.31,8.65,4.2,4.11,4.37,57.8,95.8,10.94,61.05,5.12,8.0,47.37
oct-15,60.09,77.93,43.86,8.17,4.44,4.22,4.77,57.77,95.56,11.3,61.5,5.24,7.75,47.19
nov-15,61.29,79.01,45.28,9.54,4.06,4.03,4.28,58.02,95.94,10.86,62.32,4.42,8.57,47.84
dic-15,59.9,77.58,43.66,8.32,4.31,4.24,4.47,57.88,95.69,10.21,61.11,5.46,8.74,46.45
ene-16,59.86,77.89,43.55,8.31,4.17,4.11,4.24,57.66,95.83,10.7,61.21,4.82,6.97,46.69
feb-16,59.87,77.63,43.75,7.98,4.26,4.14,4.4,57.35,95.74,9.94,61.56,4.87,7.23,46.41
mar-16,59.31,76.97,43.17,7.72,4.14,4.19,4.01,56.89,95.86,10.02,60.31,4.77,6.04,44.81
abr-16,59.79,77.64,43.63,7.01,3.82,3.84,3.79,57.21,96.18,9.67,61.17,4.48,6.63,46.42
may-16,59.88,77.6,43.79,8.17,3.95,3.91,3.99,57.36,96.05,10.27,61.33,4.87,8.12,46.21
jun-16,59.07,77.43,42.51,7.71,3.92,3.86,4.04,56.88,96.08,9.76,60.65,4.6,6.63,45.33
