Periodo,Tasa_participacion_Total,Tasa_participacion_Hombres,Tasa_participacion_Mujeres,Tasa_subocupacion,Tasa_desocupacion_Total,Tasa_desocupacion_Hombres,Tasa_desocupacion_Mujeres,Tasa_informalidad,Tasa_ocupacion_Total,Tasa_ocupacion_parcial_Total,Tasa_participacion_urbana,Tasa_desocupacion_urbana,Tasa_subocupacion_urbana,Tasa_informalidad_urbana
ago-20,54.84,72.4,39.04,16.34,4.9,5.06,4.6,54.86,95.1,11.97,54.47,6.18,18.46,43.41
sep-20,55.93,73.34,40.31,15.38,4.79,5.13,4.26,54.85,95.21,11.79,55.58,6.12,15.2,43.46
oct-20,57.29,74.19,41.98,15.05,4.59,4.68,4.51,55.67,95.41,11.32,57.23,5.93,16.57,44.61
nov-20,56.54,73.41,41.29,15.65,4.51,4.91,3.97,56.06,95.49,11.63,56.7,5.88,17.81,45.27
dic-20,56.79,73.56,41.48,14.9,4.17,4.08,4.22,55.79,95.83,10.71,56.53,5.23,17.51,45.28
ene-21,56.72,74.0,41.25,15.13,4.53,4.53,4.44,55.72,95.47,11.61,55.94,6.36,17.77,44.94
feb-21,57.04,74.33,41.45,14.42,4.44,4.52,4.15,55.31,95.56,10.6,57.51,5.64,16.31,44.27
mar-21,57.44,74.56,41.93,13.86,4.47,4.5,4.36,56.66,95.53,10.56,57.68,5.74,15.28,45.76
abr-21,58.98,76.14,43.49,13.07,4.67,5.05,4.25,55.73,95.33,11.21,58.77,5.82,14.2,45.56
may-21,58.63,75.34,43.77,12.66,4.08,4.15,3.95,55.62,95.92,10.6,59.0,5.24,12.95,45.39
jun-21,58.41,75.33,43.18,12.38,3.98,4.01,3.99,55.45,96.02,10.56,58.48,5.14,12.68,45.54
jul-21,59.52,75.96,44.59,12.51,4.09,3.96,4.33,56.23,95.91,11.07,60.47,5.34,12.65,45.84
ago-21,59.12,75.93,44.26,12.61,4.0,4.0,3.94,56.21,96.0,10.47,60.35,5.23,13.66,45.94
sep-21,58.61,75.73,43.25,12.02,3.92,3.83,4.05,56.1,96.08,10.25,59.81,5.18,12.42,46.42
oct-21,59.19,76.19,43.83,11.18,3.85,3.89,3.86,55.42,96.15,10.19,60.4,5.0,11.32,44.98
nov-21,59.12,76.15,44.12,10.27,3.8,3.66,4.0,55.52,96.2,9.89,60.0,4.81,10.53,45.18
dic-21,59.86,76.46,44.57,10.53,3.81,3.49,4.35,56.72,96.19,9.48,60.84,4.85,10.39,46.0
